index,provider number,hospital name,address1,address2,address3,city,state,zip code,county name,phone number,hospital type,hospital owner,emergency service,condition,measure code,measure name,score,sample,stateavg
741,10037,huntsville hospital,101 sivley road,empty,empty,huntsville,al,35801,madison,2562651000,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,82%,48 patients,al_ami-7a
321,20012,fairbanks memorial hospital,1650 cowles street,suite 230,empty,fairbanks,ak,99701,fairbanks north star,9074528181,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78%,42 patients,ak_ami-8b
562,30021,phoenix children's hospital,1919 east thomas road,empty,empty,phoenix,az,85016,maricopa,6029331000,childrens,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who received appropriate hair removal,94%,110 patients,az_scip-inf-2
712,40017,saint joseph hospital,1375 east 19th avenue,empty,empty,denver,co,80218,denver,3038122000,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,82%,38 patients,co_ami-7a
302,10021,birmingham hospital,1234 oak street,suite 200,empty,birmingham,al,35209,jefferson,2055551212,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,79%,100 patients,al_hf-1
512,20009,northern lights medical center,750 aurora blvd,building C,room 123,fairbanks,ak,99775,fairbanks north star,9071234567,acute care hospitals,government - local,yes,stroke,st-2,stroke patients assessed for rehabilitation,88%,45 patients,ak_st-2
729,30017,southern hills medical center,100 southern hills drive,suite 300,empty,nashville,tn,37211,davidson,6159876543,acute care hospitals,proprietary,yes,pneumonia,pn-4,pneumonia patients given oxygenation assessment,91%,150 patients,tn_pn-4
325,30028,sunset hospital,123 main street,suite 200,empty,sunnyvale,ca,94086,santa clara,4085551234,acute care hospitals,voluntary non-profit - private,yes,stroke,stroke-1,stroke patients assessed for rehabilitation,88%,45 patients,ca_stroke-1
712,40013,pine grove medical center,789 oak avenue,suite 100,empty,pineville,sc,29710,york,8039876543,acute care hospitals,government - local,yes,heart failure,hf-5,heart failure patients with discharge instructions,95%,68 patients,sc_hf-5
521,20033,northwest medical center,567 cedar street,suite 300,empty,springfield,mo,65802,greene,4173337890,acute care hospitals,proprietary,yes,hip replacement,hip-2,hip replacement patients receiving physical therapy,83%,32 patients,mo_hip-2
246,20003,anchorage regional hospital,123 main street,suite 100,building B,anchorage,ak,99501,anchorage,9075551234,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,88%,150 patients,ak_hf-1
512,30012,sunset valley medical center,789 sunset blvd,suite 200,tower A,sunset valley,ca,90210,los angeles,3109876543,acute care hospitals,government - local,yes,stroke,st-6,stroke patients with atrial fibrillation/flutter prescribed anticoagulant therapy at discharge,79%,90 patients,ca_st-6
739,40029,pinecrest medical center,450 main avenue,suite 300,wing C,pinecrest,fl,33130,miami-dade,3058765432,acute care hospitals,proprietary,yes,hip replacement,hip-1,hip replacement patients whose daily activities were assessed and were given instructions for activity,91%,45 patients,fl_hip-1
356,10018,sacred heart health system,5151 n 9th ave,empty,empty,pensacola,fl,32504,escambia,8504167000,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),79%,45 patients,fl_ami-8b
512,20009,providence alaska medical center,3200 providence drive,empty,empty,anchorage,ak,99508,anchorage,9075622211,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,74%,33 patients,ak_ami-7a
732,10037,highlands medical center,380 woods cove road,empty,empty,scottsboro,al,35768,jackson,2562183700,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,88%,140 patients,al_scip-inf-1
123,20023,northwest medical center,123 main street,suite 100,building A,springfield,il,62701,sangamon,2175551234,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-4,heart failure patients given discharge instructions,95%,150 patients,il_hf-4
456,30012,sunset valley medical center,789 oak lane,suite 200,building B,sunset valley,ca,90210,los angeles,3105556789,acute care hospitals,proprietary,yes,stroke,st-6,stroke patients given antithrombotic therapy by end of hospital day two,88%,75 patients,ca_st-6
789,40005,pinecrest community hospital,200 forest avenue,suite 50,building C,pinecrest,ny,12345,pine,5185559876,acute care hospitals,government - local,yes,hip replacement,hip-3,patients who got a blood clot preventing drug within 24 hours before or after surgery,91%,40 patients,ny_hip-3
122,10010,east alabama medical center,2000 pepperell parkway,suite 100,empty,auburn,al,36830,lee,3347493411,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,heart failure patients given discharge instructions,89%,120 patients,al_hf-1
511,20005,fairbanks memorial hospital,1650 cowles street,suite 200,empty,fairbanks,ak,99701,fairbanks north star,9074528181,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-4,heart attack patients given aspirin at arrival,95%,45 patients,ak_ami-4
732,10037,dekalb regional medical center,200 med center drive,suite 300,empty,fort payne,al,35968,dekalb,2568453150,acute care hospitals,proprietary,yes,pneumonia,pn-8,pneumonia patients given smoking cessation advice/counseling,88%,68 patients,al_pn-8
732,10036,st. vincent's east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,72%,31 patients,al_ami-7a
511,10022,huntsville hospital,101 sivley road,empty,empty,huntsville,al,35801,madison,2562651000,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,88%,215 patients,al_scip-inf-1
345,10015,infirmary health,5 mobile infirmary circle,empty,empty,mobile,al,36607,mobile,2514352400,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,78%,44 patients,al_ami-7a
382,10021,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,78%,40 patients,al_ami-7a
511,10023,flowers hospital,4370 west main street,empty,empty,dothan,al,36305,houston,3347935000,acute care hospitals,proprietary,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,85%,33 patients,al_amix8a
742,10036,community hospital,805 friendship road,empty,empty,tallassee,al,36078,elmore,3342836541,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,94%,120 patients,al_scip-inf-1
123,20029,northwest medical center,123 main street,suite 100,building A,springfield,il,62701,sangamon,2175551234,general medical and surgical hospitals,voluntary non-profit - private,yes,heart failure,hf-4,heart failure patients with left ventricular systolic dysfunction (lvsd) and ace inhibitor or arb therapy prescribed at discharge,84%,45 patients,il_hf-4
789,30015,sunnydale medical center,500 oak avenue,suite 202,west wing,sunnyvale,ca,94085,santa clara,4089876543,acute care hospitals,proprietary,yes,stroke,st-3,stroke patients who received antithrombotic therapy by end of hospital day 2,91%,68 patients,ca_st-3
321,20032,fairbanks memorial hospital,1650 cowles street,suite 700,empty,fairbanks,ak,99701,fairbanks north star,9074585555,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),79%,42 patients,ak_ami-8b
532,30015,baptist health medical center - heber springs,1800 by-pass,empty,empty,heber springs,ar,72543,cleburne,5018873000,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,71%,38 patients,ar_ami-7a
784,40027,phoenix children's hospital,1919 east thomas road,empty,empty,phoenix,az,85016,maricopa,6025461000,childrens,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients whose preventative antibiotic(s) are stopped within 24 hours after surgery,88%,96 patients,az_scip-inf-2
332,10028,southeast alabama medical center,"1108 ross clark circle, southeast health",suite 100,empty,dothan,al,36301,houston,3347938701,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,78%,42 patients,al_amix8a
507,10021,j paul jones hospital,317 magnolia avenue,empty,empty,camden,al,36726,wilcox,3346824131,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,80%,19 patients,al_ami-7a
712,10035,greene county hospital,509 wilson avenue,empty,empty,eker,al,35452,greene,2053723388,acute care hospitals,government - local,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),85%,14 patients,al_amix8b
123,20029,alaska medical center,123 main street,suite 100,empty,anchorage,ak,99501,anchorage,9071234567,acute care hospitals,proprietary,yes,heart failure,hf-1,heart failure patients given discharge instructions,88%,150 patients,ak_hf-1
456,30017,mountain view regional hospital,500 oak street,unit 202,empty,las vegas,nv,89101,clark,7029876543,acute care hospitals,government - local,yes,stroke,st-1,stroke patients assessed for rehabilitation,75%,90 patients,nv_st-1
789,40025,sunset valley medical center,700 sunrise avenue,suite 300,empty,phoenix,az,85001,maricopa,4808765432,acute care hospitals,voluntary non-profit - private,yes,cancer,cancer-1,cancer patients screened for tobacco use,82%,120 patients,az_cancer-1
329,20011,fairbanks memorial hospital,1650 cowles street,empty,empty,fairbanks,ak,99701,fairbanks north star,9074528181,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),79%,45 patients,ak_ami-8b
512,30022,yuma regional medical center,2400 south avenue a,empty,empty,yuma,az,85364,yuma,9283442000,acute care hospitals,proprietary,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),88%,105 patients,az_pn-6
731,40017,northwest medical center,6200 north la cholla boulevard,empty,empty,tucson,az,85741,pima,5207429000,acute care hospitals,proprietary,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,72%,31 patients,az_ami-7a
342,20345,mountain view regional hospital,750 north main street,suite 125,empty,las vegas,nv,89101,clark,7025896332,acute care hospitals,proprietary,yes,heart failure,hf-4,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),79%,120 patients,nv_hf-4
577,30567,lakeview regional medical center,95 east hwy 9,building c,suite 200,covington,la,70433,st. tammany,9858674090,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-9,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),88%,45 patients,la_ami-9
902,40329,unity hospital of rochester,1555 long pond road,empty,empty,rochester,ny,14626,monroe,5857237000,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who received appropriate hair removal,91%,150 patients,ny_scip-card-2
378,10003,st. vincent's east,50 medical park east drive,suite 259,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-2,heart failure patients given discharge instructions,84%,150 patients,al_hf-2
512,20023,alaska native medical center,4315 diplomar drive,empty,empty,anchorage,ak,99508,anchorage,9075632662,acute care hospitals,government - federal,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78%,42 patients,ak_ami-8b
208,10022,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-3,heart attack patients given aspirin at arrival,89%,140 patients,al_ami-3
555,20010,alaska native medical center,4315 diplomac drive,empty,empty,anchorage,ak,99508,anchorage,9075637100,acute care hospitals,government - federal,yes,heart failure,hf-3,heart failure patients given discharge instructions,78%,95 patients,ak_hf-3
215,10022,mobile infirmary medical center,5 mobile infirmary circle,suite 400,empty,mobile,al,36607,mobile,2514352400,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),79%,45 patients,al_ami-8b
527,10025,andalusia regional hospital,849 south 3 notch street,empty,empty,andalusia,al,36420,covington,3342228466,acute care hospitals,proprietary,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),82%,38 patients,al_ami-8b
743,10036,dekalb regional medical center,200 med center drive sw,empty,empty,fort payne,al,35968,dekalb,2568453150,acute care hospitals,proprietary,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,74%,19 patients,al_ami-7a
324,20021,fairbanks memorial hospital,1650 cowles street,suite #1,empty,fairbanks,ak,99701,fairbanks north star,9074528181,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-4a,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78%,45 patients,ak_ami-4a
522,30015,banner baywood medical center,6644 east baywood avenue,empty,empty,mesa,az,85206,maricopa,4803212000,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-5,heart attack patients given aspirin at arrival,95%,67 patients,az_ami-5
123,20029,fairbanks general hospital,567 main street,suite 200,empty,fairbanks,ak,99701,fairbanks north star,9074567890,acute care hospitals,proprietary,yes,heart attack,ami-8b,heart attack patients given aspirin at arrival,88%,40 patients,ak_ami-8b
345,30015,central city medical center,123 central avenue,suite 100,empty,central city,wy,82045,central,3079876543,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who received appropriate hair removal,94%,65 patients,wy_scip-inf-2
678,40007,mountain view hospital,800 pine street,suite 300,empty,mountain city,co,80458,mountain,3038765432,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,heart failure patients given discharge instructions,90%,80 patients,co_hf-1
238,20037,anchorage general hospital,1101 east 36th avenue,empty,empty,anchorage,ak,99508,anchorage,9075632662,acute care hospitals,government - local,yes,heart failure,hf-1,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78%,105 patients,ak_hf-1
502,10022,jackson hospital & clinic inc,1725 pine street,empty,empty,montgomery,al,36106,montgomery,3342938000,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,81%,42 patients,al_ami-8a
325,30012,casa grande regional medical center,1800 east florence boulevard,empty,empty,casa grande,az,85122,pinal,5203816300,acute care hospitals,proprietary,yes,stroke,stkh-3,stroke patients who received carotid imaging study,94%,63 patients,az_stkh-3
251,20002,fairbanks memorial hospital,1650 cowles street,suite 200,empty,fairbanks,ak,99701,fairbanks north star,9074582500,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,79%,38 patients,ak_ami-8a
530,10024,limestone medical center,203 south marion street,empty,empty,groesbeck,tx,76642,limestone,2547293281,acute care hospitals,government - local,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,93%,122 patients,tx_scip-inf-1
712,30007,phoenix va health care system,650 east indian school road,empty,empty,phoenix,az,85012,maricopa,6022775551,va medical center,government - federal,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,71%,15 patients,az_ami-7a
329,20019,fairbanks memorial hospital,1650 cowles street,suite 200,empty,fairbanks,ak,99701,fairbanks north star,9074528181,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),79%,45 patients,ak_ami-8b
512,30025,yuma regional medical center,2400 south avenue a,empty,empty,yuma,az,85364,yuma,9283442000,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients on a prophylactic antibiotic selection,87%,150 patients,az_scip-inf-2
745,40035,northwest medical center,6200 n la cholla blvd,empty,empty,tucson,az,85741,pima,5207429000,acute care hospitals,proprietary,yes,heart attack,ami-5,heart attack patients given aspirin at arrival,93%,100 patients,az_ami-5
912,50015,university of arkansas for medical sciences,4301 w markham st,empty,empty,little rock,ar,72205,pulaski,5016867000,acute care hospitals,government - state,yes,heart attack,ami-6,heart attack patients given aspirin at discharge,85%,60 patients,ar_ami-6
350,20029,valley view medical center,3001 st anns drive,suite 100,empty,jonesboro,ar,72401,craighead,8709305821,acute care hospitals,proprietary,yes,heart attack,ami-5,heart attack patients given aspirin at arrival,78%,45 patients,ar_ami-5
512,30014,phoenix children's hospital,1919 east thomas road,empty,empty,phoenix,az,85016,maricopa,6025461000,childrens hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the right kind of antibiotic to help prevent infection,88%,122 patients,az_scip-inf-2
725,10038,andalusia regional hospital,849 south 3 notch street,empty,empty,andalusia,al,36420,covington,3342228466,acute care hospitals,proprietary,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,73%,37 patients,al_ami-8a
350,20033,northwest medical center,1845 veterans blvd,suite b,empty,mccomb,ms,39648,pike,6012495500,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-3,heart failure patients given discharge instructions,79%,120 patients,ms_hf-3
523,30019,st bernards medical center,225 east jackson,empty,empty,jonesboro,ar,72401,craighead,8709724100,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,72%,38 patients,ar_ami-7a
712,40021,banner heart hospital,6750 e baywood ave,empty,empty,mesa,az,85206,maricopa,4808545050,acute care hospitals,proprietary,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,88%,45 patients,az_ami-8a
302,10031,montrose memorial hospital,800 south 3rd street,suite 101,empty,montrose,co,81401,montrose,9702492211,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),79%,42 patients,co_ami-8b
518,20008,central peninsula hospital,250 hospital place,empty,empty,soldotna,ak,99669,kenai peninsula,9077144404,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,71%,38 patients,ak_ami-7a
719,10035,citizens baptist medical center,604 stone avenue,empty,empty,talladega,al,35160,talladega,2563628111,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-2,surgery patients with prophylactic antibiotics stopped within 24 hours after surgery,88%,113 patients,al_scip-inf-2
123,20032,sunnydale medical center,789 pine street,suite 201,empty,springfield,il,62701,sangamon,2175551234,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,84%,150 patients,il_hf-1
456,30015,maplewood general hospital,440 oak lane,empty,empty,mapleton,mn,55432,ramsey,6129876543,acute care hospitals,government - local,yes,stroke,st-6,stroke patients who received appropriate treatment to prevent blood clots within 2 days of arrival,91%,60 patients,mn_st-6
789,40027,oakwood community hospital,123 elm avenue,suite 105,empty,oakdale,ca,95361,stanislaus,2093219876,acute care hospitals,proprietary,yes,hip replacement,hipr-3,patients who had blood clots removed from a large vein within 24 hours of arrival or admission,79%,40 patients,ca_hipr-3
432,10021,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-3,heart failure patients given discharge instructions,89%,120 patients,al_hf-3
710,10035,dekalb regional medical center,200 medical center drive sw,empty,empty,fort payne,al,35968,dekalb,2568453150,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,82%,38 patients,al_amix8a
325,20031,jackson memorial hospital,1200 n.w. 16th street,suite a-305,empty,miami,fl,33125,miami-dade,3055851111,acute care hospitals,government - local,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,80%,45 patients,fl_amix8a
512,40020,presbyterian hospital,1100 central avenue s.e.,empty,empty,albuquerque,nm,87106,bernalillo,5058411234,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,75%,35 patients,nm_ami-7a
724,50039,holy cross hospital,4725 n. federal highway,empty,empty,fort lauderdale,fl,33308,broward,9544925753,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,88%,120 patients,fl_scip-inf-1
234,30012,pineview hospital,1300 east 300 north,suite 200,empty,logan,ut,84341,cache,4357161000,acute care hospitals,proprietary,yes,heart failure,hf-3,heart failure patients with discharge instructions,78%,120 patients,ut_hf-3
555,20033,sacred heart hospital on the emerald coast,7800 u s highway 98 west,empty,empty,miramar beach,fl,32550,okaloosa,8502783600,acute care hospitals,voluntary non-profit - church,yes,stroke,st-6,stroke patients who received statin medication at discharge,85%,42 patients,fl_st-6
777,40024,memorial hospital of carbon county,2221 west elk avenue,empty,empty,rawlins,wy,82301,carbon,3073242221,acute care hospitals,government - local,yes,pneumonia,pn-8,pneumonia patients given smoking cessation advice/counseling,91%,63 patients,wy_pn-8
777,20029,anchorage general hospital,123 main street,suite 100,building C,anchorage,ak,99501,anchorage,9075551234,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,89%,50 patients,ak_hf-1
312,30012,central health hospital,700 central avenue,suite 201,tower B,phoenix,az,85001,maricopa,6029876543,acute care hospitals,government - local,yes,stroke,stroke-5,stroke patients with atrial fibrillation/flutter prescribed anticoagulant therapy at discharge,78%,40 patients,az_stroke-5
123,20032,mountain view hospital,5005 north piedra road,suite 100,empty,fresno,ca,93710,fresno,5594506200,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-4,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),88%,120 patients,ca_hf-4
456,30015,sacred heart medical center - riverbend,3333 riverbend drive,empty,empty,springfield,or,97477,lane,5412222000,acute care hospitals,voluntary non-profit - church,yes,stroke,stroke-3,stroke patients with atrial fibrillation/flutter prescribed anticoagulant therapy at discharge,82%,65 patients,or_stroke-3
364,20025,fairbanks memorial hospital,1650 cowles street,suite 104,empty,fairbanks,ak,99701,fairbanks north star,9074528181,acute care hospitals,government - local,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,79%,18 patients,ak_ami-8a
512,30009,phoenix children's hospital,1919 east thomas road,suite 200,empty,phoenix,az,85016,maricopa,6029330835,childrens,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-2,surgery patients who received treatment to prevent blood clots on the day of or day after hospital admission,88%,66 patients,az_scip-vte-2
737,40011,phillips county health systems,1150 state street,empty,empty,phillipsburg,ks,67661,phillips,7855435211,critical access hospitals,government - local,yes,pneumonia,pn-5,pneumonia patients assessed and given oxygen saturation,90%,45 patients,ks_pn-5
342,10022,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-3,heart failure patients given discharge instructions,89%,120 patients,al_hf-3
521,10025,uab highlands,1201 11th avenue south,empty,empty,birmingham,al,35205,jefferson,2059307000,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,79%,45 patients,al_ami-7a
721,10033,mizell memorial hospital,702 north main street,empty,empty,opp,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - other,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,94%,80 patients,al_pn-5c
372,30021,st. vincent's east,50 medical park east drive,suite 259,empty,birmingham,al,35235,jefferson,2058383000,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,89%,120 patients,al_hf-1
527,20001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36301,houston,3347938701,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,78%,40 patients,al_ami-7a
674,10032,dekalb regional medical center,200 med center drive sw,empty,empty,fort payne,al,35968,dekalb,2568453150,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-8,pneumonia patients assessed and given smoking cessation advice/counseling,85%,55 patients,al_pn-8
732,10038,southeast alabama medical center,"1108 ross clark circle, southeast",suite 210,empty,dothan,al,36301,houston,3347938701,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-3,heart failure patients given discharge instructions,89%,120 patients,al_hf-3
578,10024,northwest medical center,1530 us highway 43,empty,empty,winfield,al,35594,marion,2054877711,acute care hospitals,proprietary,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,77%,33 patients,al_amix8a
507,10021,d c h regional medical center,809 university boulevard east,empty,empty,tuscaloosa,al,35401,tuscaloosa,2057597111,acute care hospitals,government - local,yes,surgical infection prevention,scip-vte-2,surgery patients who received treatment to prevent blood clots on the day of or day after hospital admission,95%,98 patients,al_scip-vte-2
302,20002,fairbanks memorial hospital,1650 cowles street,suite 202,empty,fairbanks,ak,99701,fairbanks north star,9074528181,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-3,heart failure patients given discharge instructions,78%,102 patients,ak_hf-3
