provider number,hospital name,address1,city,state,zip code,county name,phone number,hospital type,hospital owner,emergency service,condition,measure code,measure name,score,sample,stateavg
10050,SOUTHERN ALABAMA MEDICAL CENTER,2500 HOSPITAL DRIVE,DOTHAN,AL,36303,HOUSTON,3347935000,Acute Care Hospitals,Non-Profit,Yes,Stroke,STK-4,Ischemic Stroke Patients Who Received Thrombolytic Therapy,75%,30 patients,AL_STK-4
10051,BIRMINGHAM HEART CLINIC,123 HEART AVENUE,BIRMINGHAM,AL,35205,JEFFERSON,2059326000,Specialty Hospitals,Proprietary,No,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,90%,50 patients,AL_HF-1
10052,NORTH ALABAMA MEDICAL CENTER,200 MEDICAL CENTER DRIVE,FLORENCE,AL,35630,LAUDERDALE,2567672000,Acute Care Hospitals,Non-Profit,Yes,Pneumonia,PN-6,Pneumonia Patients Given Initial Antibiotics Within 6 Hours,92%,60 patients,AL_PN-6
10053,MONTGOMERY MEDICAL CENTER,500 HEALTH PARK DRIVE,MONTGOMERY,AL,36117,MONTGOMERY,3342711000,Acute Care Hospitals,Public,Yes,Heart Attack,AMI-6,Heart Attack Patients Given Aspirin at Arrival,85%,40 patients,AL_AMI-6
10054,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Veterans Affairs Hospitals,Government,Yes,Heart Failure,HF-3,Heart Failure Patients Given Evaluation of Left Ventricular Function,95%,20 patients,AL_HF-3
10055,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938000,Acute Care Hospitals,Non-Profit,Yes,Heart Attack,AMI-2,Heart Attack Patients Who Received a Beta Blocker at Arrival,88%,35 patients,AL_AMI-2
10056,BAY MEDICAL CENTER,700 HEALTH PARK DRIVE,PANAMA CITY,FL,32405,BAY,8507638000,Acute Care Hospitals,Proprietary,Yes,Stroke,STK-5,Ischemic Stroke Patients Discharged on Antithrombotic Therapy,78%,10 patients,FL_STK-5
10057,HUNTSVILLE HOSPITAL,101 HOSPITAL DRIVE,HUNTSVILLE,AL,35801,MADISON,2562651000,Acute Care Hospitals,Public,Yes,Heart Failure,HF-2,Heart Failure Patients Who Received an ACE Inhibitor or ARB,82%,15 patients,AL_HF-2
10058,SELMA MEDICAL CENTER,100 HOSPITAL STREET,SELMA,AL,36701,DALLAS,3348748000,Acute Care Hospitals,Non-Profit,Yes,Pneumonia,PN-4,Pneumonia Patients Who Received an Influenza Vaccine,70%,20 patients,AL_PN-4
10059,BIRMINGHAM CHILDREN'S HOSPITAL,1600 7TH AVE SOUTH,BIRMINGHAM,AL,35233,JEFFERSON,2056389100,Pediatric Hospitals,Non-Profit,Yes,Asthma,AS-1,Asthma Patients Given Home Management Plan,92%,25 patients,AL_AS-1
10060,DOTHAN REGIONAL MEDICAL CENTER,123 HOSPITAL DRIVE,DOTHAN,AL,36303,HOUSTON,3347121234,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-3,Heart Attack Patients Who Received a Statin at Discharge,89%,22 patients,AL_AMI-3
10061,MOBILE INfirmary Medical Center,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607,MOBILE,2514353000,Acute Care Hospitals,Non-Profit,Yes,Heart Failure,HF-4,Heart Failure Patients Who Received an Assessment of Heart Function,94%,18 patients,AL_HF-4
10062,JASPER HOSPITAL,100 HOSPITAL AVENUE,JASPER,AL,35501,WALKER,2053847000,Acute Care Hospitals,Public,Yes,Pneumonia,PN-3,Pneumonia Patients Who Received Pneumococcal Vaccination,76%,28 patients,AL_PN-3
10063,BAY MINETTE HOSPITAL,100 HOSPITAL DRIVE,BAY MINETTE,AL,36507,BALDWIN,2519370210,Acute Care Hospitals,Non-Profit,Yes,Heart Attack,AMI-1,Heart Attack Patients Who Received a Fibrinolytic Therapy Within 30 Minutes,81%,20 patients,AL_AMI-1
10064,TALLADEGA HEALTHCARE CENTER,100 HOSPITAL CIRCLE,TALLADEGA,AL,35160,TALLADEGA,2563624100,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-5,Heart Failure Patients Who Were Given an ACE Inhibitor,88%,30 patients,AL_HF-5
10065,FLORENCE MEDICAL CENTER,2500 FLORENCE BLVD,FLORENCE,AL,35630,LAUDERDALE,2567682100,Acute Care Hospitals,Public,Yes,Pneumonia,PN-2,Pneumonia Patients Who Were Given a Blood Culture Prior to Antibiotic Administration,95%,40 patients,AL_PN-2
10066,OZARK MEDICAL CENTER,1000 MEDICAL CENTER DRIVE,OZARK,AL,36360,DALE,3347742000,Acute Care Hospitals,Non-Profit,Yes,Heart Attack,AMI-8,Heart Attack Patients Who Received PCI Within 90 Minutes,84%,15 patients,AL_AMI-8
10067,CLAY COUNTY HOSPITAL,100 HOSPITAL ROAD,ASHLAND,AL,36251,CLAY,2563542110,Acute Care Hospitals,Public,Yes,Stroke,STK-3,Ischemic Stroke Patients Who Received Antithrombotic Therapy by End of Hospital Day 2,89%,20 patients,AL_STK-3
10068,LIFEGUARD HOSPITAL,100 LIFEGUARD WAY,MONTGOMERY,AL,36106,MONTGOMERY,3345516000,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-1,Pneumonia Patients Who Received an Initial Antibiotic Within 4 Hours,93%,30 patients,AL_PN-1
10069,BLOUNT MEMORIAL HOSPITAL,100 WARD AVE,ONEONTA,AL,35121,BLOUNT,2052743000,Acute Care Hospitals,Public,Yes,Heart Attack,AMI-7,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,80%,10 patients,AL_AMI-7
10070,MARION REGIONAL MEDICAL CENTER,100 HOSPITAL DRIVE,MARION,AL,36756,PERRY,3346836000,Acute Care Hospitals,Non-Profit,Yes,Heart Failure,HF-6,Heart Failure Patients Who Received an Assessment of Left Ventricular Function,91%,12 patients,AL_HF-6
10071,TALLAPOOSA COUNTY HOSPITAL,100 HOSPITAL STREET,Dadeville,AL,36853,TALLAPOOSA,2568252000,Acute Care Hospitals,Public,Yes,Pneumonia,PN-7,Pneumonia Patients Who Received an Influenza Vaccine,74%,18 patients,AL_PN-7
10050,HUNTSVILLE HOSPITAL,101 W HUNTSVILLE AVENUE,HUNTSVILLE,AL,35801,MADISON,2562651000,Acute Care Hospitals,Public,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,72%,30 patients,AL_AMI-7A
10051,BIRMINGHAM MEDICAL CENTER,2500 7TH AVENUE SOUTH,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,Acute Care Hospitals,Non-Profit,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,95%,65 patients,AL_PN-5C
10052,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INSTITUTE DRIVE,MOBILE,AL,36607,MOBILE,2514352000,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,88%,20 patients,AL_AMI-8A
10053,DOTHAN REGIONAL MEDICAL CENTER,2880 HOSPITALITY DRIVE,DOTHAN,AL,36303,HOUSTON,3347935000,Acute Care Hospitals,Public,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,95%,10 patients,AL_AMI-5
10054,TUSCALOOSA MEDICAL CENTER,2700 HOSPITAL DRIVE,TUSCALOOSA,AL,35405,TUSCALOOSA,2057597000,Acute Care Hospitals,Non-Profit,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,90%,50 patients,AL_PN-5C
10055,FLORENCE MEDICAL CENTER,123 MEDICAL PARK DRIVE,FLORENCE,AL,35630,LAUDERDALE,2567604000,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,100%,5 patients,AL_AMI-4
10056,PRATTVILLE MEDICAL CENTER,100 MEDICAL CENTER DRIVE,PRATTVILLE,AL,36067,AUTAUGA,3343612000,Acute Care Hospitals,Non-Profit,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,75%,15 patients,AL_AMI-7A
10057,ANNISTON REGIONAL MEDICAL CENTER,1200 HOSPITAL DRIVE,ANNISTON,AL,36207,CALHOUN,2562355000,Acute Care Hospitals,Public,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,92%,40 patients,AL_PN-5C
10058,GULF COAST MEDICAL CENTER,3000 GULF COAST HIGHWAY,ORANGE BEACH,AL,36561,BALDWIN,2519813700,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,82%,18 patients,AL_AMI-8A
10059,DECATUR GENERAL HOSPITAL,123 DECATUR STREET,DECATUR,AL,35601,MORGAN,2563534500,Acute Care Hospitals,Public,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,97%,25 patients,AL_AMI-4
10060,TROY REGIONAL MEDICAL CENTER,250 HOSPITAL DRIVE,TROY,AL,36081,PIKE,3346705000,Acute Care Hospitals,Non-Profit,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,89%,35 patients,AL_PN-5C
10061,SELMA MEDICAL CENTER,1000 MEDICAL CENTER DRIVE,SELMA,AL,36701,DALLAS,3348748000,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,98%,10 patients,AL_AMI-5
10062,MONTGOMERY MEDICAL CENTER,500 HOSPITAL DRIVE,MONTGOMERY,AL,36104,MONTGOMERY,3342936000,Acute Care Hospitals,Public,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,91%,60 patients,AL_PN-5C
10063,BAY MEDICAL CENTER,3000 BAY MEDICAL DRIVE,PANAMA CITY,AL,32401,BAY,8507698341,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,74%,22 patients,AL_AMI-7A
10064,BIRMINGHAM CHILDREN'S HOSPITAL,1600 7TH AVENUE SOUTH,BIRMINGHAM,AL,35233,JEFFERSON,2056389100,Children's Hospitals,Non-Profit,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,85%,14 patients,AL_AMI-8A
10065,NORTH ALABAMA MEDICAL CENTER,100 HOSPITAL DRIVE,FLORENCE,AL,35630,LAUDERDALE,2567604000,Acute Care Hospitals,Public,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,94%,72 patients,AL_PN-5C
10066,TALLADEGA MEDICAL CENTER,100 MEDICAL CENTER DRIVE,TALLADEGA,AL,35160,TALLADEGA,2563621200,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,99%,3 patients,AL_AMI-4
10067,SHELBY BAPTIST MEDICAL CENTER,1000 1ST STREET NE,ALABASTER,AL,35007,SHELBY,2056208100,Acute Care Hospitals,Non-Profit,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,90%,20 patients,AL_AMI-8A
10068,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,2567372000,Acute Care Hospitals,Public,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,93%,55 patients,AL_PN-5C
10069,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,ANNISTON,AL,36203,CALHOUN,2568312000,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,96%,12 patients,AL_AMI-5
10050,BIRMINGHAM HEART CLINIC,123 HEART AVENUE,BIRMINGHAM,AL,35203,JEFFERSON,2055551234,Specialty Hospitals,Non-Profit,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,75%,40 patients,AL_AMI-7A
10051,MOBILE MEDICAL CENTER,456 HEALTH STREET,MOBILE,AL,36602,MOBILE,2515555678,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,95%,70 patients,AL_PN-5C
10052,HUNTSVILLE MEDICAL GROUP,789 CARE ROAD,HUNTSVILLE,AL,35801,MADISON,2565557890,Acute Care Hospitals,Public,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,88%,30 patients,AL_AMI-8A
10053,TUSCALOOSA COMMUNITY HOSPITAL,321 COMMUNITY DRIVE,TUSCALOOSA,AL,35401,TUSCALOOSA,2055554321,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,90%,10 patients,AL_AMI-5
10054,DOTHAN MEDICAL CENTER,654 MEDICAL PARKWAY,DOTHAN,AL,36301,HOUSTON,3345553456,Acute Care Hospitals,Non-Profit,Yes,Pneumonia,PN-6,Pneumonia Patients Admitted to ICU,92%,50 patients,AL_PN-6
10055,AUBURN MEDICAL FACILITY,987 HEALTHWAY DRIVE,AUBURN,AL,36830,LEE,3345556789,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,85%,15 patients,AL_AMI-4
10056,FLORENCE GENERAL HOSPITAL,135 MEDICAL AVENUE,FLORENCE,AL,35630,LAUDERDALE,2565551235,Acute Care Hospitals,Public,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,98%,80 patients,AL_PN-5C
10057,SELMA MEDICAL CENTER,246 HEALTH STREET,SELMA,AL,36701,DALLAS,3345557892,Acute Care Hospitals,Non-Profit,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,77%,20 patients,AL_AMI-8A
10058,MONTGOMERY MEDICAL HOSPITAL,159 ELM STREET,MONTGOMERY,AL,36104,MONTGOMERY,3345551230,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,95%,5 patients,AL_AMI-5
10059,TALLADEGA MEDICAL CENTER,258 PINE STREET,TALLADEGA,AL,35160,TALLADEGA,2565556780,Acute Care Hospitals,Public,Yes,Pneumonia,PN-6,Pneumonia Patients Admitted to ICU,89%,45 patients,AL_PN-6
10060,DECATUR MEDICAL CENTER,369 OAK AVENUE,DECATUR,AL,35601,MORGAN,2565554320,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,100%,3 patients,AL_AMI-4
10061,GADSDEN HEART HOSPITAL,174 HEARTBEAT LANE,GADSDEN,AL,35904,ETOWAH,2565557893,Specialty Hospitals,Non-Profit,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,82%,22 patients,AL_AMI-7A
10062,CLANTON MEDICAL CENTER,408 MEDICAL WAY,CLANTON,AL,35045,CHILTON,2055556784,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,97%,60 patients,AL_PN-5C
10063,BAY MINETTE HOSPITAL,512 BAY STREET,BAY MINETTE,AL,36507,Baldwin,2515554321,Acute Care Hospitals,Public,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,80%,20 patients,AL_AMI-8A
10064,PRATTVILLE MEDICAL HOSPITAL,625 MAIN STREET,PRATTVILLE,AL,36067,AUTAUGA,3345556781,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,85%,10 patients,AL_AMI-5
10065,TUSCALOOSA HEART INSTITUTE,777 HEART WAY,TUSCALOOSA,AL,35401,TUSCALOOSA,2055559876,Specialty Hospitals,Non-Profit,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,91%,35 patients,AL_AMI-7A
10066,BIRMINGHAM PNEUMONIA HOSPITAL,888 AIRWAY AVENUE,BIRMINGHAM,AL,35203,JEFFERSON,2055556543,Specialty Hospitals,Proprietary,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,96%,55 patients,AL_PN-5C
10067,MOBILE HEART CLINIC,222 CARDIO WAY,MOBILE,AL,36602,MOBILE,2515559876,Specialty Hospitals,Non-Profit,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,86%,25 patients,AL_AMI-8A
10068,HUNTSVILLE PNEUMONIA CENTER,345 BREATHING AVENUE,HUNTSVILLE,AL,35801,MADISON,2565554321,Specialty Hospitals,Public,Yes,Pneumonia,PN-6,Pneumonia Patients Admitted to ICU,94%,65 patients,AL_PN-6
10069,FAYETTE MEDICAL CENTER,111 HEALTH AVENUE,FAYETTE,AL,35555,FAYETTE,2055556789,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,99%,4 patients,AL_AMI-4
10050,SOUTHERN ALABAMA MEDICAL CENTER,101 S MAIN STREET,DOTHAN,AL,36301,HOUSTON,3347935000,Acute Care Hospitals,Non-Profit,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,90%,30 patients,AL_HF-1
10051,BIRMINGHAM MEDICAL CENTER,2000 6TH AVE SOUTH,BIRMINGHAM,AL,35233,JEFFERSON,2059345000,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-6,Pneumonia Patients Given Appropriate Initial Antibiotics,85%,50 patients,AL_PN-6
10052,ANNISTON REGIONAL MEDICAL CENTER,200 E 10TH STREET,ANNISTON,AL,36207,CALHOUN,2562355000,Acute Care Hospitals,Non-Profit,Yes,Heart Attack,AMI-3,Heart Attack Patients Given Aspirin at Arrival,95%,40 patients,AL_AMI-3
10053,TUSCALOOSA MEDICAL CENTER,1201 HARGROVE ROAD E,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597000,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-6,Heart Attack Patients Given Statin at Discharge,88%,15 patients,AL_AMI-6
10054,HUNTSVILLE MEDICAL CENTER,101 S MADISON STREET,HUNTSVILLE,AL,35801,MADISON,2562651000,Acute Care Hospitals,Non-Profit,Yes,Pneumonia,PN-3,Pneumonia Patients Vaccinated Against Pneumococcus,92%,28 patients,AL_PN-3
10055,FLORENCE MEDICAL CENTER,500 S WOOD AVENUE,FLORENCE,AL,35630,LAUDERDALE,2567644000,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-2,Heart Failure Patients Who Were Given an Evaluation of Left Ventricular Systolic Function,87%,34 patients,AL_HF-2
10056,MOBILE MEDICAL CENTER,300 MEDICAL PARK DRIVE,MOBILE,AL,36607,MOBILE,2514502000,Acute Care Hospitals,Non-Profit,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,90%,20 patients,AL_AMI-2
10057,SELMA MEDICAL CENTER,400 ALABAMA AVENUE,SELMA,AL,36701,DALLAS,3348746000,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-4,Pneumonia Patients Given Blood Cultures Before Antibiotics,80%,22 patients,AL_PN-4
10058,GADSDEN MEDICAL CENTER,600 GADSDEN AVENUE,GADSDEN,AL,35901,ETOWAH,2565468000,Acute Care Hospitals,Non-Profit,Yes,Heart Attack,AMI-1,Heart Attack Patients Who Received Fibrinolytic Therapy Within 30 Minutes,93%,45 patients,AL_AMI-1
10059,DECATUR MEDICAL CENTER,700 14TH STREET SE,DECATUR,AL,35601,MORGAN,2563531000,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-3,Heart Failure Patients Who Had a Follow-Up Visit Within 30 Days,89%,33 patients,AL_HF-3
10060,TALLADEGA MEDICAL CENTER,800 10TH STREET N,TALLADEGA,AL,35160,TALLADEGA,2567616000,Acute Care Hospitals,Non-Profit,Yes,Pneumonia,PN-7,Pneumonia Patients Who Received a Pneumococcal Vaccine,91%,38 patients,AL_PN-7
10061,OXFORD MEDICAL CENTER,900 S QUINTARD AVENUE,OXFORD,AL,36203,CALHOUN,2568312100,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-9,Heart Attack Patients Who Are Given ACE Inhibitors at Discharge,86%,18 patients,AL_AMI-9
10062,MONROEVILLE MEDICAL CENTER,1000 E HOSPITAL AVE,MONROEVILLE,AL,36460,MONROE,2515753000,Acute Care Hospitals,Non-Profit,Yes,Heart Failure,HF-4,Heart Failure Patients Who Received a Home Management Plan,94%,27 patients,AL_HF-4
10063,BAY MINETTE MEDICAL CENTER,1100 HAND AVENUE,BAY MINETTE,AL,36507,Baldwin,2519378000,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-8,Pneumonia Patients Who Had a Chest X-Ray Within 24 Hours,90%,25 patients,AL_PN-8
10064,GULF SHORES MEDICAL CENTER,200 E 21ST AVENUE,GULF SHORES,AL,36542,BALDWIN,2519685000,Acute Care Hospitals,Non-Profit,Yes,Heart Attack,AMI-10,Heart Attack Patients Who Received Cardiac Rehabilitation,85%,16 patients,AL_AMI-10
