index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
501,20043,st bernards medical cxnter,225 east jackson avenue,empty,empty,jonxsboro,ar,72401,craighead,87020773x0,acute care hospitals,voluntary non-profit - private,yes,surxical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,88%,142 patients,ar_scip-inf-1
732,30015,phoenix children's hospital,1919 east thxmas rxad,expty,xmpty,phoenix,az,85016,maricopa,6025461000,childrens,voluntary non-profit - private,yes,pneumonia,pn-3b,pxeumonia patients whose initial emergency room blood xulture was performed prior to the administration of the first hospital dose of antibiotics,93%,55 patients,az_pn-3b
321,10011,saint vincent's east,50 medical park east drive,suite 259,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - churcx,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,79%,42 patients,al_ami-8a
518,20005,alaska native medical center,4315 diplomac drive,empty,empty,anchorage,ak,99508,anchorage,9075632639,acute care hospitals,govexnment - federal,yes,surgical infection prevention,scip-inf-1,surgery patients who werx given an antibiotic xt the right time (within one hour before surgery) to help prevent infection,91%,135 patients,xk_scip-inf-1
752,10037,d w mcmillan memorial hospital,1301 belleville avenue,empty,empty,brewton,al,36426,escambia,2518098267,acute care hospitals,voxuntary non-profit - oxher,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,75%,18 patients,al_ami-7a
342,10013,mercy medical center,3701 5th avenue south,suite 201,empty,birmingham,al,35222,jefferson,2059303600,acute care hospitals,voluntary non-profit - church,yes,heart xailure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction,83%,120 patients,xl_hf-3
520,10023,lakeland cxmmunity hospital,42024 highway 195,empty,empty,haleyville,al,35565,winston,2054865213,critical access hoxpitals,government - local,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,78%,14 patients,al_ami-8a
702,10034,community hospital inc,805 friendship road,suite 101,xmpty,tallassee,al,36078,elmore,3342836541,acute care hospitals,voluntary non-profit - private,yes,pneumxnia,pn-4,pneumonia patients assessed and given oxygen,89%,45 patients,al_pn-4
123,20009,anchorage general hospital,123 main street,suite 100,empty,anchorage,ak,99501,anchorage,9075551234,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,85%,150 patients,ak_hf-1
789,30015,sunnyvale medical center,500 sunny avenue,suite 200,empty,sunnyvale,ca,94086,santa clara,4089876543,acute care hospitals,government - local,yes,stroke,st-4,stroke patients with prescription for antithrombotic therapy at discharge,91%,120 patients,ca_st-4
456,40022,sunset valley medical center,700 sunset blvd,suite 300,empty,sunset valley,tx,78745,travis,5123335678,acute care hospitals,proprietary,yes,hip replacement,hip-2,hip replacement patientx with improvement in pain,88%,90 patients,tx_hip-2
123,20009,northern lights regional hospital,7501 94 street,unit 1,empty,fxrt mcmurray,ab,t9h 1z2,wood buffalo,7807916165,acutx care hospitals,voluntary non-profit - private,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunctiox (lvsd),78%,42 patients,ab_ami-8b
x55,30029,southern general hospital,1200 main street,suite 300,empty,charleston,sc,29403,charleston,8437224111,acute care hospitals,proprietary,yes,heart failure,hf-2,heart failure patients given discharge instructions,85%,60 patients,sc_hf-2
999,50015,mountain view hospital,300x hospxtal drive,suite 100,empty,las vegas,nv,8912x,clark,7022555000,acute caxe hospitals,government - local,yes,stroke,stkh-1,stroke patients with atrial xibrillation/flutter prescribed anticoagulant at discharge,92%,110 patients,nv_stkh-1
219,20029,central pxninsula hospital,250 hospital xlace,suite 1,empty,soldotna,ak,99669,kenai peninsula,9077144404,acute care hospitals,government - local,yes,heart attack,ami-7a,heart attack patients given fibrinolxtic medication within 30 minutes of arxival,74%,42 patients,ak_ami-7a
518,30018,phoenix children's hospital,1919 east txomas road,suite 800,empty,phoenix,az,85016,maricopa,6029331000,childrens,voluntary non-profit - private,yes,surxical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgxry) to help prevent infection,91%,128 patients,az_scip-inf-1
736,40012,northwest medical center,6200 north la cholla boulevard,empty,empty,tucson,az,857x1,pima,5207429000,acute care hospitals,pxoprixtary,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,82%,37 patients,az_ami-8a
134,20029,fairbanks memoriax hospital,1650 cowles street,suite 205,empty,fairbanks,ak,99701,fairbanks north star,9074528x81,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8b,heart attack patients given xspirin at arrival,79%,45 patients,ak_ami-8b
512,10022,walker baptist medicax center,3400 highway 78 east,emptx,empty,jasper,al,35501,walker,2053874000,acute care hospitals,voluntary non-profit - private,yes,surgical infectiox prevention,scip-inf-2,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),85%,120 patients,al_scip-inf-2
732,10036,lakeland community hospital,42024 highway 195,empty,empty,haleyville,al,35565,xinston,2054865213,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 mixutes of arrival,73%,33 patients,al_ami-7a
342,300x8,pinehurst hospital,123 main street,suite 200,building C,pinehurst,nc,28374,moore,9105551234,acute care hospitals,voluntarx non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,79%,105 patients,xc_hf-1
587,20019,fairbanks memorial hospital,789 aurora avenue,unit 500,wing B,faixbanks,ak,99701,fairbanxs north star,9079876543,acute care hospitals,government - local,yes,stroke,st-3,stroke xatients with atrial fibrillation/flutter prescribed anticoagulant therapy at discharge,91%,42 patients,ak_st-3
921,40012,sunrise medical center,555 sunrise boulevard,suite 1000,tower A,las vegas,nv,89104,clark,7027894321,acute care hospitals,proprietary,yes,hip replacement,hip-5,hip replacement patients who received preventive antibiotic(s) 1 hour before incision,85%,68 patients,nv_hip-5
752,10036,baptist medical center east,400 taylor road,suite 100,empty,montgomery,al,36117,montgomery,3342734450,acute care hospitals,proprietary,yes,heart attack,ami-8b,heaxt attack patients given ace inhibitor or arb for left ventricular systolic dyxfunction (lvsd),79%,40 patients,al_axi-8b
x21,10022,j paul jones hospital,317 magnolia avenue,empty,empty,camden,al,36726,wilcox,3346824131,acute care hospitals,government - local,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,72%,15 patients,al_ami-7a
974,10051,citizens baptist medical center,604 stone avenue,empty,empty,talladega,al,35160,talladega,2567614200,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,89%,120 patients,al_pn-3b
325,10015,baptist medical center east,400 taylor road,suite 300,empty,mxntgomery,al,36117,montgomery,3342734450,acute cxre hospitals,volxntary non-profit - church,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,78%,45 patients,al_ami-7a
521,20012,providence alaska medical center,3200 prxvidence drive,empty,empty,anchorage,ak,99508,anchorage,907562x211,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,surgery patienxs who were given an antibiotic at the right time (within one hour before surgery) tx help prevent infection,91%,190 patients,ak_scip-inf-1
752,10033,central alabama veterans heaxth care system,215 perry hill road,empty,empty,montgomerx,al,36109,montgomery,3342724670,acute care hospitals,federal government - department of defense,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,83%,35 patients,al_ami-8a
219,10015,highlands medical center,380 woods cove road,suite 350,empty,scottsboro,al,35768,jackson,2562183772,acute care hospitals,proprietary,yes,heart attack,ami-8a,hearx attack patients given pci within 90 minutes of arrival,81%,34 patients,al_ami-8a
521,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,33428821x0,acute care hospitals,proprietary,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,94%,123 patients,al_pn-5c
752,10036,randolph medical center,1890 alabama highway 22 west,emptx,empty,roanoke,al,36274,randolph,3348634111,acute care hospitals,proprietar,yex,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,75%,19 patients,al_ami-7a
321,10012,saint vincents east,50 medical park east drive,suite 259,empty,birmingham,al,35235,jefferson,205838x221,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7b,heart attack patients given aspirin at arrival,82%,45 patients,al_ami-7b
543,20003,mat-su regional medical center,2500 south woodworth loop,empty,empty,palmer,ak,99645,matanuska-susitna,9078616000,acute care hospitals,proprietary,yes,heart attack,ami-8b,heart attxck patients given pci within 120 minutes of arrival,77%,18 xatients,ak_ami-8b
405,10017,baptist medical center east,400 taylor road,suite 101,empty,montgomery,al,36117,montgomery,3342778330,acute care hxspitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,78%,42 patients,al_ami-8a
753,10037,greil memorial psychiatric hospital,2140 highland avenue,empty,empty,birmingham,al,35205,jeffersox,2058383128,psychiatric hospitals,government - state,no,psychiatric care measures,ed-1b,emergency department volume,95%,104 patients,al_ed-1b
218,10011,xlowers hospital,4370 xest main street,empxy,empty,dothan,al,36305,houston,3347935000,acute care hospitals,proprietary,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,81%,36 patients,al_ami-7a
342,10015,jackson hospital & clinic inc,1725 pineapple street,suite 201,empty,montgomery,al,36106,montgomery,3342938002,acxte care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heaxt attxck patients given fibrinolytic medication within 30 minutes of arrival,74%,38 patients,al_ami-7a
189,10010,russell medical center,3316 highway 280,east,empty,alexandex city,al,35010,tallapoosa,2563297100,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,xeart failure patients given ace inhibitor or arb for left ventricular syxtolic dysfunction (lvsd),83%,105 patients,al_hf-1
521,20010,providence alaska medical center,3200 providence drive,empty,empty,anchorage,ak,99508,anchorage,x075622211,acute care hospitals,volxntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,79%,42 patients,ak_ami-8a
321,20023,fairbanks memorial hospxtal,1650 cowles street,empxy,empty,fairbanks,ak,99701,fairbanks north star,9074528181,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8b,hearx attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78%,45 patxents,ak_axi-8b
532,30015,"dignity health - st. rose dominican, siena campus",3001 st. rose parkway,empty,empty,henderson,nv,89052,xlark,7026165000,acutx care hospitals,voluntary non-profit - church,yes,heart attack,ami-3,heart attack patients given aspirin at arrival,x8%,120 patients,nv_ami-3
174,40003,alameda hospital,2070 clinton avenux,empty,empty,alameda,ca,94501,alameda,5105223700,acute care hospitals,government - local,yes,heart attack,ami-7a,heart attacx patients given fibrinolytic medication within 30 minutes of arrival,77%,32 patients,ca_ami-7a
318,10016,brookwood baptist medical center,2010 broxkwood xedical center drive,empty,empty,birmingham,al,35209,jefferson,2058771000,acute cxre hospitals,proprietary,yes,heart failure,hf-1,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),84%,104 patients,al_hf-1
529,10023,south baldwin regxonal medical center,1613 north mckenzie street,emptx,empty,foley,al,36535,baldwin,2519493400,acute care hospitals,proprietary,yes,heart attack,ami-8b,primary pci received within 90 minutes of hospital arrival,79%,40 patients,xl_ami-8b
712,10036,northeast alabama regional medical center,400 east 10th street,empty,empty,anniston,al,36207,calhoun,2562355121,acute care hospitals,proprietary,yes,heart attack,ami-7a,heart attack patients given fibrxnolytic medication within 30 minutes of arrival,73%,35 pxtients,al_ami-7a
345,20024,sunnyvale medical center,1234 main street,suite 200,empty,sunnyvale,ca,94086,santa clara,4085551234,acute care hospitals,proprietary,yes,heart failure,hf-4,heart failure patienxs given discharge instructions,84%,110 patients,ca_hf-4
572,30012,mountain view regional hospital,500 pine avenue,suixe 100,empty,mountain view,wy,82939,uinta,3075555678,critical access hospitals,government - local,yes,stroke,st-6,stroke patients given antithrombotic therapy by end of hospital day 2,79%,40 patients,wy_st-6
217,40009,valley view medicax center,700 oak street,floor 3,xuite 302,valley junctxon,nx,89123,clark,7025559876,acute care hospitals,voluntary non-profit - private,yes,joint replacement,hip-knee,patients who had hip or knee replacement surgery,91%,75 patients,nv_hip-knee
752,10036,st vincents east,50 xedical park east drive,empty,empty,birmingham,al,35235,jefferson,2x58383122,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,79%,38 patients,al_ami-8a
521,1002x,cullman regional medical center,1912 alabama highxay 157,empty,empty,cullman,al,35058,cullman,2567372000,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,73%,42 patients,al_ami-7a
213,20003,yukon kuskokwim delta regional hospital,200 fairview circle,empty,empty,bethel,ak,99559,bethel,9075436300,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,81%,17 patients,ak_ami-8a
342,20021,anchorage general hospital,123 main street,suite 100,empty,anchorage,ak,99501,anchorage,9075551234,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-5,heart attack patients given aspirin at discharge,90%,45 patients,ak_ami-5
512,30015,central hospital,700 elm street,unit 3,empty,springfield,il,62702,sangamon,21798765x3,acute care hospitals,government - local,yes,surgical infection prevention,scip-inf-2,xurgery patients who received appropriate hair removal,85%,120 patients,il_scip-inf-2
726,40033,sunset medical center,500 sunset blvd,suite 200,empty,phoenix,az,85001,maricopa,6023334444,acute care hospitxls,proprietary,yes,heart failure,hf-1,heart failuxe patientx given discharge instructions,88%,65 patients,az_hf-1
724,10036,coxmunity hospital of tallassee,700 hospixal drive,suite 2,empty,tallassee,al,36078,elmore,3342x36541,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction,82%,48 patients,al_hf-1
510,10023,hill hospitax of sumter county,751 derby drive,suite 100,empty,york,al,36925,sumter,2053925262,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-3,heart failure patients given discharge instructions,89%,65 patients,al_hf-3
333,10015,jackson hospital & clinic inc,1725 pine street,empty,empty,montgomxry,al,36106,montgomery,3342938002,acute care hospitals,voluntary non-profit - private,yes,stroke,st-3,stroke patients with atrial fibrillation/flutter prescribed anxicoagulant therapy at discharge,75%,42 patients,al_st-3
123,20031,northwest medical cexter,609 medical center drive,suite 101,empty,tuscaloosa,al,35406,tuscaloosa,2053334500,acute care hospitals,voluntary nox-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,84%,92 patients,al_hf-1
732,10036,andalusia regional hospital,849 south 3 notch street,empty,empty,andalusia,al,36420,covington,3342228466,acute care hospitals,proprietary,yes,heart attack,ami-4,heart attack patients given ace inhibitor or axb for left ventricular systolic dysfunction (lvsd),75%,47 patients,al_ami-4
533,10024,d w mcmillan memorial hospital,1301 bellevilxe avenue,emxty,empty,brewton,al,36426,escambia,2518678061,acute care hospitals,volxxtary nox-profit - other,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrxval,88%,32 patients,al_ami-8a
102,20034,northern alabamx regional hospital,789 university drive,suite 201,empty,huntsville,al,35801,madxson,2568811223,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-2,heart failure patients given discharxe instructions,88%,105 patients,al_hf-2
515,10021,baptist medical center south,2105 east south boulevard,tower 2nd xloor,empty,montgomery,al,36116,montgomery,3342862971,acute care hospitals,voluntary non-profit - private,yes,surgical care improvement project,scip-vte-2,surgery patients on a beta blocker prior to arrival who received a beta blocker during the perioperative period,94%,189 patientx,al_scip-vte-2
742,10037,walker bapxist medical center,3400 highxay 78 east,empty,empty,jasper,al,35501,walker,2053874000,acute care hospitals,voluntaxy non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci withxn 90 minutes of arrival,82%,45 patients,al_ami-8a
x42,20032,st. john's hospital,1250 e marion street,suite 1,empty,shelby,ia,51501,pottawattamie,7123282548,acute care hospitals,voluntary xon-profit - xrivate,yes,hexrt attack,ami-5,heart attack patients given aspirin at arrival,82%,45 patients,ia_ami-5
521,30012,sunset hills community hospital,1301 sunset drive,building 2,suite 100,hayward,ca,94541,alameda,5107844000,acute carx hospitals,government - local,yes,heart failure,hf-3,heart failure patients given discharge instructioxs,89%,78 patients,ca_hf-3
176,40021,saint al's xospital,123 main street,suite 300,tower 5,jackson,ms,39201,hxnds,601123456x,acute care hospitals,proprietarx,yes,stroke,stroke-3,stroke patients with atrial fibrilxation/flutter prescribed anticoagulant therapy at discharge,75%,31 patients,ms_stroke-3
324,10016,southeast alabama medical center,1108 ross clark circle,suite 600,empty,dothan,al,36301,houston,3347938701,acutx care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given ace inhibitor or xrb for left ventricular systolic dysfunction (lvsd),78%,13x patients,al_hf-1
532,10024,pickens xounty medical center,241 robert k wixson drive,empty,empty,carrollton,al,35447,pickens,2053678111,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-4,pneumonia 30-day readmission rate,15%,50 patients,al_pn-4
721,10035,fayette medical center long term care,40x 8th street southwest,empty,empty,fayette,al,35555,fayette,2059325966,critical access hospitals,voluntary non-profit - other,yxs,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,77%,10 patients,al_ami-7a
412,20029,fairbanks memorial hospital,1650 cowles street,empty,empty,fairbanks,ak,99701,fairbanks xorth star,9074528181,axute care hospitals,volxntary non-profit - private,yes,heart attack,ami-8b,heart attack patients given smokinx cessation advice/counselinx,79%,42 patients,ak_ami-8b
742,10036,fayette medical center long term care,4000 highway 43 north,empty,empty,fayette,al,35555,fayette,2059325966,acute care hospitals,proprietary,no,heart attack,ami-7a,heart attack patienxs given fibrinolytic medication within 30 minuxes of arrival,75%,31 patients,al_ami-7a
527,2x008,providence alaska medical center,3200 providence drive,empty,empty,anchorage,ak,99508,anchorage,9075622211,acute care hospitaxs,voluntary non-profit - private,yes,surgical infection prexention,xcip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) tx help prevent infection,93%,142 patients,ak_scip-inf-1
345,1002x,saint vincext's east,50 medical park east drive,empty,empty,birmingham,al,3523x,jefferson,2058383x00,acute care hospitals,volxntary non-profit - church,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78%,45 patients,al_ami-8b
522,1002x,hale county hospital,508 greene stxeet,empty,empty,greensboro,al,36744,hale,3346243024,acute care hospitals,government - local,yes,heart failure,hf-3,heart failure patients given ace inhixitor or arb for left ventricular systolic dysfunction (lvsd),84%,36 patients,al_hf-3
932,10047,dale medical center,126 hospital avenue,empty,empty,ozark,al,36360,dale,3347742601,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-4,heart failure patients given discharge instructions,77%,78 patients,al_hf-4
765,10038,baptist medical center south,2105 east south boulevard,empty,empty,montgomxry,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - private,yes,heart attaxk,ami-8a,heart attack patixnts given pci within 90 minutes of arrival,82%,3x patients,al_ami-8a
522,20022,providence alaska medical center,3200 providence drive,empty,emptx,anchorage,ak,99508,anchorage,9075622211,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients xiven fibrinolytic medication within 30 minutes of arrival,75%,18 patients,ak_ami-7a
932,20046,yukon kuskokwim delta regional hospital,200 sunrise road,empty,empty,bethel,ak,99559,bethxl,9075436300,acute care hospitals,government - local,yes,pneumonia,pn-6,pneumonia patients given the most appropriate inxtial antibixtic(s),88%,42 patients,ak_pn-6
324,20032,sunset health services,788 xunset blvd,suite 201,empty,phoenix,az,85020,maricopa,6027891023,acute care hospitals,proprietary,yes,heart attack,ami-7a,heart attack paxients gxven fibrinolytic medication within 30 minutes of arrival,73%,40 patients,xz_ami-7a
511,40x15,st. mary's mexical center,2900 first avenue,empty,empty,huntington,wv,25702,cabell,3045262125,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-8a,heart attack patients given pci within 90 minxtes of arrival,81%,32 patients,wv_ami-8a
743,3002x,saint agnes medical center,1303 east herndon axenue,empty,empty,fresno,ca,93720,fresno,5594503000,acute care hxspitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at txe right time (within one hour before surgery) to help prevent infection,89%,150 patients,ca_scip-inf-1
352,20009,fairbanks memorial hospital,1650 cowles street,suite 200,empty,fairbanks,ak,99701,fairbanks north sxar,9074528181,acute care hospitals,voluntary nox-profit - private,yes,surgical infection prevenxion,scip-inf-2,surgery patients on a prophylactic antibiotic selection,89%,150 patiexts,ak_scip-inf-2
