row_index,column_index,column_name,clean_value,dirty_value
25,8,zip code,35768,35761
25,10,phone number,2562183700,2562183701
25,17,score,88%,85%
25,18,sample,140 patients,145 patients
26,1,provider number,20023,20032
26,4,address2,suite 100,suite 101
26,5,address3,building A,building B
26,8,zip code,62701,62703
26,10,phone number,2175551234,2175551235
26,17,score,95%,93%
26,18,sample,150 patients,155 patients
27,1,provider number,30012,30102
28,8,zip code,12345,12346
29,1,provider number,10010,10019
33,4,address2,empty,suite 200
33,6,city,huntsville,hunstville
33,8,zip code,35801,35810
33,10,phone number,2562651000,2562651001
33,17,score,88%,87%
33,18,sample,215 patients,200 patients
34,4,address2,empty,building A
34,6,city,mobile,mobil
34,8,zip code,36607,36617
34,10,phone number,2514352400,2514352401
34,17,score,78%,76%
34,18,sample,44 patients,42 patients
35,4,address2,empty,floor 3
35,6,city,montgomery,montgomer
35,8,zip code,36116,36111
35,10,phone number,3342882100,3342882101
35,17,score,78%,79%
35,18,sample,40 patients,39 patients
36,1,provider number,10023,10032
36,2,hospital name,flowers hospital,flowrs hospital
36,4,address2,empty,unit 200
36,5,address3,empty,building B
36,8,zip code,36305,36350
36,10,phone number,3347935000,3347935001
36,15,measure code,ami-8a,ami-8b
36,17,score,85%,86%
36,18,sample,33 patients,35 patients
36,19,stateavg,al_amix8a,al_amix8b
37,1,provider number,10036,10063
37,2,hospital name,community hospital,community hospitl
37,4,address2,empty,suite 300
37,5,address3,empty,building C
37,6,city,tallassee,tallasee
37,8,zip code,36078,36087
37,10,phone number,3342836541,3342836542
37,15,measure code,scip-inf-1,scip-inf-2
37,17,score,94%,90%
37,18,sample,120 patients,125 patients
37,19,stateavg,al_scip-inf-1,al_scip-inf-2
38,1,provider number,20029,20092
38,2,hospital name,northwest medical center,northwest medical ctr
38,4,address2,suite 100,suite 101
38,5,address3,building A,building D
38,6,city,springfield,springfiled
38,8,zip code,62701,62702
38,10,phone number,2175551234,2175551235
38,15,measure code,hf-4,hf-5
38,17,score,84%,82%
38,18,sample,45 patients,40 patients
38,19,stateavg,il_hf-4,il_hf-5
39,1,provider number,30015,30051
39,8,zip code,94085,94805
39,17,score,91%,92%
40,1,provider number,20032,20322
40,8,zip code,99701,99710
40,17,score,79%,70%
41,1,provider number,30015,30051
41,6,city,heber springs,herber springs
41,8,zip code,72543,72534
41,17,score,71%,70%
42,4,address2,empty,suite 101
42,6,city,phoenix,pheonix
42,10,phone number,6025461000,6025461001
42,17,score,88%,85%
42,18,sample,96 patients,90 patients
43,8,zip code,36301,36031
43,10,phone number,3347938701,3347938702
43,13,emergency service,yes,no
43,14,condition,heart attack,heart attach
43,17,score,78%,80%
43,18,sample,42 patients,40 patients
44,8,zip code,36726,36729
44,10,phone number,3346824131,3346824132
44,14,condition,heart attack,heart attach
44,17,score,80%,85%
44,18,sample,19 patients,15 patients
45,2,hospital name,greene county hospital,green county hospital
45,4,address2,empty,suite 101
45,6,city,eker,ecker
45,8,zip code,35452,35453
45,9,county name,greene,green
45,10,phone number,2053723388,2053723389
45,17,score,85%,86%
45,18,sample,14 patients,15 patients
46,4,address2,suite 100,suite 101
46,6,city,anchorage,anchor
46,8,zip code,99501,99502
46,10,phone number,9071234567,9071234568
46,17,score,88%,89%
46,18,sample,150 patients,151 patients
47,4,address2,unit 202,unit 201
47,8,zip code,89101,89102
47,10,phone number,7029876543,7029876542
47,17,score,75%,76%
47,18,sample,90 patients,91 patients
48,8,zip code,85001,85010
48,10,phone number,4808765432,4808765433
48,17,score,82%,83%
48,18,sample,120 patients,121 patients
49,8,zip code,99701,99702
49,10,phone number,9074528181,9074528182
49,17,score,79%,78%
49,18,sample,45 patients,44 patients
50,8,zip code,85364,85365
50,10,phone number,9283442000,9283442001
50,17,score,88%,89%
50,18,sample,105 patients,106 patients
51,4,address2,empty,unit 101
51,6,city,tucson,tuscon
51,8,zip code,85741,85714
51,10,phone number,5207429000,5207429001
51,17,score,72%,75%
51,18,sample,31 patients,35 patients
52,6,city,las vegas,las vagas
52,8,zip code,89101,89110
52,10,phone number,7025896332,7025896333
52,17,score,79%,82%
52,18,sample,120 patients,125 patients
53,6,city,covington,covignton
53,8,zip code,70433,70434
53,10,phone number,9858674090,9858674091
53,17,score,88%,85%
53,18,sample,45 patients,50 patients
54,4,address2,empty,unit 100
56,4,address2,empty,unit 5
57,1,provider number,10022,10023
57,2,hospital name,baptist medical center south,baptist medical center suth
57,6,city,montgomery,montgmery
57,8,zip code,36116,36161
57,10,phone number,3342882100,3342882101
57,17,score,89%,88%
57,18,sample,140 patients,141 patients
58,1,provider number,20010,20019
58,2,hospital name,alaska native medical center,alaska native medical cente
58,8,zip code,99508,99588
58,10,phone number,9075637100,9075637101
58,17,score,78%,80%
58,18,sample,95 patients,90 patients
59,1,provider number,10022,10023
59,6,city,mobile,moble
59,8,zip code,36607,36617
59,10,phone number,2514352400,2514352401
59,17,score,79%,77%
59,18,sample,45 patients,44 patients
60,4,address2,empty,unit 101
60,8,zip code,36420,36421
60,10,phone number,3342228466,3342228465
60,17,score,82%,81%
60,18,sample,38 patients,37 patients
60,19,stateavg,al_ami-8b,al_ami-8c
61,1,provider number,10036,10035
61,4,address2,empty,suite 2
61,8,zip code,35968,35967
61,10,phone number,2568453150,2568453151
61,17,score,74%,75%
61,18,sample,19 patients,18 patients
61,19,stateavg,al_ami-7a,al_ami-7b
62,1,provider number,20021,20012
62,4,address2,suite #1,suite #2
62,8,zip code,99701,99702
62,10,phone number,9074528181,9074528182
62,17,score,78%,77%
62,18,sample,45 patients,44 patients
62,19,stateavg,ak_ami-4a,ak_ami-4b
63,4,address2,empty,suite 101
64,4,address2,suite 200,suite 201
65,4,address2,suite 100,suite 102
66,1,provider number,40007,40017
66,8,zip code,80458,80457
66,10,phone number,3038765432,3038765433
66,17,score,90%,91%
66,18,sample,80 patients,81 patients
67,1,provider number,20037,20073
68,1,provider number,10022,10023
68,8,zip code,36106,36105
68,10,phone number,3342938000,3342938001
68,17,score,81%,80%
68,18,sample,42 patients,41 patients
69,1,provider number,30012,30021
69,4,address2,empty,suite 100
69,6,city,casa grande,cas grande
69,8,zip code,85122,85121
69,10,phone number,5203816300,5203816301
69,18,sample,63 patients,65 patients
70,1,provider number,20002,20020
70,4,address2,suite 200,suite 20
70,6,city,fairbanks,fairbank
70,8,zip code,99701,99711
70,10,phone number,9074582500,9074582501
70,18,sample,38 patients,39 patients
71,1,provider number,10024,10042
71,4,address2,empty,suite 100
71,8,zip code,76642,76641
71,10,phone number,2547293281,2547293282
71,18,sample,122 patients,123 patients
72,4,address2,empty,unit 101
72,8,zip code,85012,85013
72,10,phone number,6022775551,6022775552
72,17,score,71%,72%
72,18,sample,15 patients,16 patients
73,4,address2,suite 200,suite 201
73,8,zip code,99701,99702
73,10,phone number,9074528181,9074528182
73,17,score,79%,80%
73,18,sample,45 patients,46 patients
74,4,address2,empty,suite 202
74,8,zip code,85364,85365
74,10,phone number,9283442000,9283442001
74,17,score,87%,86%
74,18,sample,150 patients,151 patients
75,4,address2,empty,suite 200
75,6,city,tucson,tuscon
75,8,zip code,85741,85704
75,10,phone number,5207429000,5207429001
75,17,score,93%,92%
75,18,sample,100 patients,105 patients
76,1,provider number,50015,50016
76,3,address1,4301 w markham st,4301 w markham street
76,6,city,little rock,littlerock
76,7,state,ar,ak
76,8,zip code,72205,72055
76,10,phone number,5016867000,5016867001
76,14,condition,heart attack,heart attach
76,17,score,85%,86%
76,18,sample,60 patients,50 patients
77,1,provider number,20029,20092
77,3,address1,3001 st anns drive,3001 st ann's drive
77,6,city,jonesboro,jonesborough
77,8,zip code,72401,72041
77,10,phone number,8709305821,8709305822
77,14,condition,heart attack,heart attach
77,16,measure name,heart attack patients given aspirin at arrival,heart attach patients given aspirin at arrival
77,17,score,78%,80%
77,18,sample,45 patients,40 patients
78,1,provider number,30014,3001
78,8,zip code,85016,8501
79,1,provider number,10038,1003
79,8,zip code,36420,3642
80,1,provider number,20033,2033
80,8,zip code,39648,3964
81,4,address2,empty,suite 101
81,8,zip code,72401,72041
81,10,phone number,8709724100,8709724101
81,17,score,72%,71%
81,18,sample,38 patients,39 patients
82,8,zip code,85206,85260
82,10,phone number,4808545050,4808545051
82,17,score,88%,89%
82,18,sample,45 patients,46 patients
83,4,address2,suite 101,suite 102
83,8,zip code,81401,81421
83,10,phone number,9702492211,9702492212
83,17,score,79%,78%
83,18,sample,42 patients,41 patients
84,1,provider number,20008,20080
84,2,hospital name,central peninsula hospital,central peninsula hospitl
84,10,phone number,9077144404,9077144044
85,8,zip code,35160,35610
86,1,provider number,20032,2032
86,10,phone number,2175551234,2175551243
87,1,provider number,30015,30051
87,4,address2,empty,suite 101
87,8,zip code,55432,55423
87,10,phone number,6129876543,6129876541
87,17,score,91%,90%
87,18,sample,60 patients,62 patients
88,1,provider number,40027,40072
88,8,zip code,95361,95316
88,10,phone number,2093219876,2093219879
88,17,score,79%,76%
88,18,sample,40 patients,44 patients
89,1,provider number,10021,10211
89,8,zip code,36116,36161
89,10,phone number,3342882100,3342882101
89,17,score,89%,87%
89,18,sample,120 patients,122 patients
90,4,address2,empty,suite 100
91,13,emergency service,yes,no
93,2,hospital name,holy cross hospital,holly cross hospital
93,4,address2,empty,suite 100
93,8,zip code,33308,33307
93,10,phone number,9544925753,9544925754
93,17,score,88%,87%
93,18,sample,120 patients,121 patients
93,19,stateavg,fl_scip-inf-1,fl_scip-inf-2
94,4,address2,suite 200,suite 201
94,8,zip code,84341,84342
94,10,phone number,4357161000,4357161001
94,17,score,78%,76%
94,18,sample,120 patients,119 patients
94,19,stateavg,ut_hf-3,ut_hf-4
95,4,address2,empty,suite 101
95,8,zip code,32550,32551
95,10,phone number,8502783600,8502783601
95,17,score,85%,86%
95,18,sample,42 patients,43 patients
95,19,stateavg,fl_st-6,fl_st-7
96,1,provider number,40024,40224
96,4,address2,empty,suite 101
96,5,address3,empty,building A
96,6,city,rawlins,rawlings
96,8,zip code,82301,82310
96,10,phone number,3073242221,3073242220
96,17,score,91%,89%
96,18,sample,63 patients,64 patients
97,1,provider number,20029,20092
97,8,zip code,99501,99510
97,10,phone number,9075551234,9075551235
97,17,score,89%,85%
97,18,sample,50 patients,52 patients
98,1,provider number,30012,30021
98,3,address1,700 central avenue,701 central avenue
98,4,address2,suite 201,suite 200
98,5,address3,tower B,tower C
98,8,zip code,85001,85011
98,10,phone number,6029876543,6029876542
98,17,score,78%,80%
98,18,sample,40 patients,45 patients
99,5,address3,empty,missing
100,1,provider number,30015,30115
100,2,hospital name,sacred heart medical center - riverbend,sacred heart medical center - riverbed
101,1,provider number,20025,20052
101,5,address3,empty,missing
102,1,provider number,30009,30090
102,2,hospital name,phoenix children's hospital,phoenix childrens hospital
102,3,address1,1919 east thomas road,1919 east thomas rd
103,1,provider number,40011,40111
103,2,hospital name,phillips county health systems,phillips county health system
103,3,address1,1150 state street,1150 state st
104,3,address1,2105 east south boulevard,2105 east south blvd
105,2,hospital name,uab highlands,ub highlands
105,8,zip code,35205,35250
105,10,phone number,2059307000,2059307009
105,17,score,79%,80%
105,18,sample,45 patients,40 patients
106,8,zip code,36467,34667
106,10,phone number,3344933541,3344933542
106,17,score,94%,92%
106,18,sample,80 patients,85 patients
107,8,zip code,35235,35253
107,10,phone number,2058383000,2058383009
107,17,score,89%,88%
107,18,sample,120 patients,125 patients
108,4,address2,empty,missing
108,5,address3,empty,missing
108,8,zip code,36301,36310
108,17,score,78%,80%
108,18,sample,40 patients,45 patients
109,4,address2,empty,missing
109,5,address3,empty,missing
109,8,zip code,35968,35978
109,17,score,85%,82%
109,18,sample,55 patients,50 patients
110,5,address3,empty,missing
110,8,zip code,36301,36311
110,17,score,89%,87%
110,18,sample,120 patients,115 patients
111,4,address2,empty,suite 101
111,10,phone number,2054877711,2054877111
111,17,score,77%,72%
111,18,sample,33 patients,35 patients
112,17,score,95%,98%
112,18,sample,98 patients,95 patients
113,17,score,78%,82%
113,18,sample,102 patients,99 patients
114,2,hospital name,russell hospital,russel hospital
114,5,address3,empty,unknown
115,4,address2,empty,unknown
117,5,address3,tower A,tower B
117,8,zip code,80202,80222
117,10,phone number,3039876543,3039876541
117,17,score,91%,90%
117,18,sample,80 patients,85 patients
118,4,address2,suite 300,suite 310
118,8,zip code,85001,85101
118,10,phone number,6023334444,6023334441
118,17,score,88%,85%
118,18,sample,120 patients,125 patients
119,8,zip code,85001,85002
119,10,phone number,6025551234,6025551231
119,17,score,88%,87%
119,18,sample,120 patients,115 patients
120,8,zip code,80903,80904
120,10,phone number,7199876543,7199876544
120,17,score,84%,85%
120,18,sample,95 patients,100 patients
120,19,stateavg,co_pn-4,co_pn-5
121,8,zip code,99508,99509
121,10,phone number,9072641243,9072641244
121,17,score,89%,88%
121,18,sample,150 patients,160 patients
121,19,stateavg,ak_hf-2,ak_hf-3
122,8,zip code,99755,99756
122,10,phone number,9076839532,9076839533
122,17,score,83%,82%
122,18,sample,45 patients,50 patients
122,19,stateavg,ak_stroke-3,ak_stroke-4
123,1,provider number,40015,40014
123,2,hospital name,baptist health medical center-arkadelphia,baptist health medical center-arkadelphi
123,8,zip code,71923,71922
123,10,phone number,8702452622,8702452621
123,15,measure code,pn-8,pn-9
123,17,score,78%,79%
123,18,sample,60 patients,61 patients
123,19,stateavg,ar_pn-8,ar_pn-9
124,1,provider number,20012,20021
124,2,hospital name,fairbanks memorial hospital,fairbanks memorial hospit
124,8,zip code,99701,99702
124,10,phone number,9074528181,9074528182
124,15,measure code,ami-8a,ami-8b
124,17,score,78%,79%
124,18,sample,42 patients,43 patients
124,19,stateavg,ak_amix8a,ak_amix8b
125,1,provider number,10025,10026
125,2,hospital name,community hospital north,community hosp north
125,8,zip code,46256,46257
125,10,phone number,3176216262,3176216261
125,15,measure code,scip-vte-2,scip-vte-3
125,17,score,95%,94%
125,18,sample,123 patients,124 patients
125,19,stateavg,in_scip-vte-2,in_scip-vte-3
126,2,hospital name,wills memorial hospital,will's memorial hospital
126,4,address2,empty,suite 200
126,8,zip code,30673,30670
126,17,score,72%,73%
126,18,sample,31 patients,32 patients
127,2,hospital name,valdez regional health authority,valdeez regional health authority
127,8,zip code,99686,99680
127,17,score,79%,78%
127,18,sample,40 patients,41 patients
128,8,zip code,85206,85260
128,17,score,88%,87%
128,18,sample,92 patients,93 patients
129,4,address2,empty,suite 202
129,10,phone number,2563324110,2563324111
129,17,score,73%,72%
129,18,sample,14 patients,13 patients
130,4,address2,empty,building 3
130,10,phone number,2052743000,2052743001
130,17,score,78%,80%
130,18,sample,40 patients,42 patients
131,4,address2,empty,suite 100
131,10,phone number,4022198000,4022198001
131,17,score,85%,84%
131,18,sample,60 patients,61 patients
132,4,address2,empty,suite 102
132,6,city,hamilton,hamiltown
132,10,phone number,2059216200,2059216201
132,17,score,92%,91%
132,18,sample,15 patients,16 patients
133,7,state,ak,az
133,10,phone number,9071234567,9071234568
133,17,score,84%,85%
133,18,sample,120 patients,121 patients
134,4,address2,unit B,unit C
134,10,phone number,3039876543,3039876544
134,13,emergency service,yes,no
134,17,score,93%,94%
134,18,sample,80 patients,81 patients
135,1,provider number,10009,10090
135,6,city,montgomery,montogomery
135,8,zip code,36116,36126
135,10,phone number,3342882100,3342882101
135,17,score,82%,80%
135,18,sample,45 patients,40 patients
136,1,provider number,20015,20051
136,8,zip code,95405,95415
136,10,phone number,7075457200,7075457201
136,17,score,88%,85%
136,18,sample,120 patients,125 patients
137,1,provider number,10035,10335
137,8,zip code,35565,35556
137,10,phone number,2054865213,2054865214
137,17,score,75%,72%
137,18,sample,18 patients,15 patients
138,1,provider number,20023,20032
138,8,zip code,99701,99702
138,17,score,78%,76%
139,1,provider number,10026,10036
139,8,zip code,36426,36427
139,17,score,94%,90%
140,1,provider number,10036,10063
140,8,zip code,35768,35769
140,17,score,79%,81%
141,1,provider number,20002,20020
141,2,hospital name,northern lights regional health centre,northern lights regional health center
141,3,address1,7 hospital street,7 hospital st
141,5,address3,empty,building
141,6,city,fort mcmurray,fort macmurray
141,8,zip code,70914,70941
141,10,phone number,7807916052,7807916053
141,15,measure code,hf-1,hf-2
141,18,sample,96 patients,100 patients
141,19,stateavg,ab_hf-1,ab_hf-2
142,1,provider number,30021,30201
142,3,address1,6245 de longpre avenue,6245 de longpre ave
142,4,address2,suite 900,ste 900
142,5,address3,empty,nan
142,6,city,hollywood,hollywod
142,8,zip code,90028,90082
142,10,phone number,3234622271,3234262271
142,15,measure code,st-3,st-5
142,17,score,78%,80%
142,18,sample,42 patients,40 patients
142,19,stateavg,ca_st-3,ca_st-5
143,1,provider number,40055,40550
143,2,hospital name,mountainview regional medical center,mountainview regional medical centre
143,3,address1,4311 east lohman avenue,4311 east lohman ave
143,5,address3,empty,nan
143,7,state,nm,nv
143,8,zip code,88011,88001
143,10,phone number,5755567600,5755577600
143,15,measure code,pn-8,pn-9
143,17,score,89%,88%
143,18,sample,55 patients,50 patients
143,19,stateavg,nm_pn-8,nv_pn-9
144,1,provider number,30012,30021
144,4,address2,empty,suite 100
144,8,zip code,52402,52403
144,10,phone number,3193697211,3193697212
144,17,score,80%,82%
144,18,sample,35 patients,30 patients
145,1,provider number,20025,20052
145,5,address3,empty,suite 50
145,8,zip code,99508,99507
145,10,phone number,9075637100,9075637102
145,17,score,75%,73%
145,18,sample,45 patients,50 patients
146,1,provider number,10020,10002
146,4,address2,suite 200,suite 300
146,8,zip code,91763,91764
146,10,phone number,9096255411,9096255413
146,17,score,79%,77%
146,18,sample,45 patients,40 patients
147,4,address2,empty,suite 100
147,8,zip code,99508,99518
147,10,phone number,9075622211,9075622212
147,17,score,83%,85%
147,18,sample,112 patients,110 patients
148,8,zip code,35570,35571
148,10,phone number,2059216200,2059216201
148,17,score,88%,86%
148,18,sample,67 patients,65 patients
149,8,zip code,99709,99708
149,10,phone number,9074567890,9074567891
149,17,score,95%,93%
149,18,sample,150 patients,155 patients
150,8,zip code,80528,80529
150,10,phone number,9701234567,9701234568
150,17,score,88%,89%
150,18,sample,95 patients,96 patients
151,8,zip code,85001,85010
151,10,phone number,6029876543,6029876544
151,17,score,82%,80%
151,18,sample,120 patients,121 patients
152,8,zip code,35565,35566
152,10,phone number,2054865213,2054865214
152,17,score,79%,78%
152,18,sample,38 patients,37 patients
153,4,address2,empty,suite 100
153,8,zip code,99508,99507
153,17,score,95%,90%
153,18,sample,140 patients,150 patients
154,4,address2,empty,suite 200
154,8,zip code,36804,36801
154,17,score,73%,75%
154,18,sample,17 patients,20 patients
155,4,address2,empty,suite 300
155,8,zip code,36116,36109
155,17,score,79%,80%
155,18,sample,48 patients,50 patients
156,4,address2,empty,unit 201
156,17,score,88%,89%
156,18,sample,95 patients,100 patients
157,4,address2,empty,suite 101
157,8,zip code,35968,35698
157,17,score,72%,70%
157,18,sample,33 patients,30 patients
158,17,score,85%,84%
158,18,sample,45 patients,40 patients
159,1,provider number,10024,10025
159,2,hospital name,lawrence medical center,lawrence medical centre
159,3,address1,202 hospital street,202 hospital st
159,4,address2,empty,suite 100
159,5,address3,empty,room 301
159,6,city,moulton,molton
159,7,state,al,alabama
159,8,zip code,35650,35651
159,10,phone number,2569742200,2569742201
159,11,hospital type,acute care hospitals,acute care hospital
159,14,condition,heart failure,heart attack
159,15,measure code,hf-3,hf-4
159,16,measure name,heart failure patients given an evaluation of left ventricular systolic (lvs) function,heart failure patients given an evaluation of left ventricular diastolic (lvd) function
159,17,score,77%,76%
159,18,sample,60 patients,59 patients
159,19,stateavg,al_hf-3,al_hf-4
160,1,provider number,30021,30022
160,2,hospital name,sunset health services inc,sunset healthcare services inc
160,3,address1,789 sunset boulevard,789 sunset blvd
160,4,address2,suite 200,suite 201
160,5,address3,empty,room 101
160,6,city,phoenix,pheonix
160,8,zip code,85001,85002
160,10,phone number,6028765432,6028765431
160,13,emergency service,yes,no
160,15,measure code,hf-1,hf-2
160,16,measure name,heart failure patients given discharge instructions,heart failure patients given medication at discharge
160,17,score,84%,85%
160,18,sample,95 patients,96 patients
160,19,stateavg,az_hf-1,az_hf-2
161,1,provider number,20039,20040
161,2,hospital name,northern michigan hospital,northern michigan medical center
161,3,address1,416 connable avenue,416 connable ave
161,4,address2,empty,suite 300
161,5,address3,empty,room 201
161,6,city,petoskey,petoski
161,8,zip code,49770,49771
161,9,county name,emmet,emmett
161,10,phone number,2314874000,2314874001
161,15,measure code,st-1,st-2
161,16,measure name,stroke patients assessed for rehabilitation,stroke patients screened for atrial fibrillation
161,17,score,79%,80%
161,18,sample,120 patients,119 patients
161,19,stateavg,mi_st-1,mi_st-2
162,1,provider number,40012,40021
163,8,zip code,36116,36161
164,8,zip code,35594,35954
165,4,address2,empty,unit 204
165,8,zip code,35903,35902
165,10,phone number,2564944000,2564944001
165,17,score,82%,85%
165,18,sample,42 patients,40 patients
166,4,address2,suite 3,suite 30
166,8,zip code,90023,90025
166,10,phone number,3232689191,3232689919
166,17,score,95%,90%
166,18,sample,120 patients,125 patients
167,4,address2,tower 2,tower 22
167,8,zip code,27103,27105
167,10,phone number,3366596000,3366596008
167,17,score,88%,85%
167,18,sample,45 patients,50 patients
168,8,zip code,97401,97400
168,10,phone number,5416876430,5416876431
168,18,sample,65 patients,64 patients
169,8,zip code,99701,99700
169,10,phone number,9074528181,9074528182
169,17,score,78%,77%
169,18,sample,45 patients,44 patients
170,8,zip code,85016,85015
170,10,phone number,6029331000,6029331001
170,17,score,94%,93%
170,18,sample,129 patients,128 patients
171,4,address2,empty,unit 100
171,6,city,shelby,selby
171,8,zip code,28150,28152
171,10,phone number,7044873154,7044873155
171,11,hospital type,acute care hospitals,acute care hospital
171,12,hospital owner,proprietory,proprietary
171,17,score,82%,81%
171,18,sample,37 patients,38 patients
171,19,stateavg,nc_stroke-3,nc_stroke-4
172,4,address2,empty,suite 200
172,8,zip code,36116,36115
172,10,phone number,3342882100,3342882101
172,17,score,79%,77%
172,18,sample,123 patients,120 patients
172,19,stateavg,al_hf-3,al_hf-2
173,4,address2,empty,suite 300
173,8,zip code,35968,35967
173,10,phone number,2568453150,2568453151
173,12,hospital owner,proprietary,proprietory
173,17,score,88%,85%
173,18,sample,95 patients,90 patients
173,19,stateavg,al_pn-1,al_pn-2
174,8,zip code,35661,35616
174,10,phone number,2563861600,2563861601
174,18,sample,44 patients,45 patients
175,8,zip code,99701,99711
175,10,phone number,9074528181,9074528182
175,18,sample,45 patients,44 patients
176,8,zip code,35235,35236
176,10,phone number,2058383000,2058383001
176,18,sample,55 patients,56 patients
177,2,hospital name,hale county hospital,hale conty hospital
178,8,zip code,94086,9486
179,2,hospital name,mountain view regional hospital,mountain view reginal hospital
179,8,zip code,82939,8239
180,1,provider number,40012,40021
180,8,zip code,33140,33141
180,10,phone number,3055555678,3055555679
180,17,score,83%,85%
180,18,sample,95 patients,90 patients
181,1,provider number,20034,20043
181,8,zip code,98002,98003
181,10,phone number,7807916200,7807916209
181,17,score,81%,84%
181,18,sample,35 patients,40 patients
182,1,provider number,30012,30021
182,8,zip code,99352,99353
182,10,phone number,5099420333,5099420339
182,17,score,93%,95%
182,18,sample,110 patients,100 patients
183,1,provider number,20005,20050
183,8,zip code,99501,99502
183,10,phone number,9075551234,9075551243
183,17,score,85%,86%
183,18,sample,120 patients,121 patients
184,1,provider number,30012,30112
184,8,zip code,95350,95351
184,10,phone number,2099876543,2099876544
184,17,score,78%,77%
184,18,sample,45 patients,46 patients
185,1,provider number,40033,40333
185,8,zip code,90405,90406
185,10,phone number,3108765432,3108765433
185,17,score,90%,89%
185,18,sample,95 patients,94 patients
186,8,zip code,36110,3611
186,10,phone number,3342631257,3342631256
186,17,score,79%,80%
186,18,sample,42 patients,40 patients
187,8,zip code,36305,3630
187,10,phone number,3347935000,3347935001
187,17,score,88%,85%
187,18,sample,129 patients,120 patients
188,8,zip code,35160,3516
188,10,phone number,2563628111,2563628110
188,17,score,91%,89%
188,18,sample,38 patients,40 patients
189,1,provider number,20023,20032
189,2,hospital name,central peninsula hospital,central peninsular hospital
190,1,provider number,10038,10083
191,1,provider number,10016,10061
192,5,address3,empty,unit 201
192,8,zip code,85021,85121
192,17,score,88%,85%
192,18,sample,105 patients,100 patients
193,4,address2,suite 300,suite 302
193,5,address3,empty,room 303
193,17,score,95%,97%
193,18,sample,63 patients,65 patients
194,8,zip code,55109,55119
194,17,score,89%,87%
194,18,sample,42 patients,40 patients
195,5,address3,empty,unit 200
195,8,zip code,36507,36508
195,10,phone number,2519375521,2519375522
195,17,score,79%,78%
195,18,sample,35 patients,36 patients
196,4,address2,empty,room 101
196,8,zip code,35968,35967
196,10,phone number,2568453150,2568453151
196,17,score,88%,87%
196,18,sample,42 patients,41 patients
197,4,address2,suite 200,suite 201
197,8,zip code,36078,36079
197,10,phone number,3342836541,3342836542
197,17,score,90%,89%
197,18,sample,62 patients,61 patients
198,1,provider number,20008,20080
198,4,address2,empty,suite 100
198,8,zip code,99701,99705
198,10,phone number,9074528181,9074528182
198,17,score,79%,80%
198,18,sample,45 patients,46 patients
199,1,provider number,30012,30021
199,8,zip code,85001,85010
199,10,phone number,6025551234,6025551243
199,17,score,88%,87%
199,18,sample,35 patients,34 patients
200,1,provider number,40009,40090
200,4,address2,empty,suite 1
200,8,zip code,72201,72202
200,10,phone number,5015559876,5015559870
200,17,score,95%,94%
