index,provider number,hospital name,address1,address2,address3,city,state,zip code,county name,phone number,hospital type,hospital owner,emergency service,condition,measure code,measure name,score,sample,stateavg
325,30228,sunset hospital,123 main street,suite 200,empty,sunnyvale,ca,94086,santa clara,4085551234,acute care hospitals,voluntary non-profit - private,yes,stroke,stroke-1,stroke patients assessed for rehabilitation,86%,45 patients,ca_stroke-1
712,40013,pine grove medical center,789 oak avenue,suite 100,empty,pineville,sc,29710,york,8039876543,acute care hospitals,government - local,yes,heart failure,hf-5,heart failure patients with discharge instructions,95%,68 patients,sc_hf-5
521,20033,northwest medical center,567 cedar street,suite 300,empty,springfield,mo,65802,greene,4173337890,acute care hospitals,proprietary,yes,hip replacement,hip-2,hip replacement patients receiving physical therapy,83%,32 patients,mo_hip-2
246,20003,anchorage regional hospital,123 main street,suite 100,building B,anchorage,ak,99501,anchorage,9075551234,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,88%,150 patients,ak_hf-1
512,30021,sunset valley medical center,789 sunset blvd,suite 200,tower A,sunset valley,ca,90211,los angeles,3109876540,acute care hospitals,government - local,yes,stroke,st-6,stroke patients with atrial fibrillation/flutter prescribed anticoagulant therapy at discharge,78%,91 patients,ca_st-6
739,40092,pinecrest medical center,450 main avenue,suite 300,wing C,pinecrest,fl,33131,miami-dade,3058765435,acute care hospitals,proprietary,yes,hip replacement,hip-1,hip replacement patients whose daily activities were assessed and were given instructions for activity,90%,46 patients,fl_hip-1
356,10081,sacred heart health system,5151 n 9th ave,empty,empty,pensacola,fl,32504,escambia,8504167001,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),80%,44 patients,fl_ami-8b
512,20019,providence alaska medical center,3200 providence drive,suite 200,building C,anchorage,ak,99518,anchorage,9075622212,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,71%,35 patients,ak_ami-7a
732,10073,highlands medical center,380 woods cove road,unit B,building D,scottsboro,al,35761,jackson,2562183701,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,85%,145 patients,al_scip-inf-1
123,20032,northwest medical center,123 main street,suite 101,building B,springfield,il,62703,sangamon,2175551235,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-4,heart failure patients given discharge instructions,93%,155 patients,il_hf-4
456,30102,sunset valley medical center,789 oak lane,suite 200,building B,sunset valley,ca,90210,los angeles,3105556789,acute care hospitals,proprietary,yes,stroke,st-6,stroke patients given antithrombotic therapy by end of hospital day two,88%,75 patients,ca_st-6
789,40005,pinecrest community hospital,200 forest avenue,suite 50,building C,pinecrest,ny,12346,pine,5185559876,acute care hospitals,government - local,yes,hip replacement,hip-3,patients who got a blood clot preventing drug within 24 hours before or after surgery,91%,40 patients,ny_hip-3
122,10019,east alabama medical center,2000 pepperell parkway,suite 100,empty,auburn,al,36830,lee,3347493411,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,heart failure patients given discharge instructions,89%,120 patients,al_hf-1
511,20005,fairbanks memorial hospital,1650 cowles street,suite 200,empty,fairbanks,ak,99701,fairbanks north star,9074528181,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-4,heart attack patients given aspirin at arrival,95%,45 patients,ak_ami-4
732,10037,dekalb regional medical center,200 med center drive,suite 300,empty,fort payne,al,35968,dekalb,2568453150,acute care hospitals,proprietary,yes,pneumonia,pn-8,pneumonia patients given smoking cessation advice/counseling,88%,68 patients,al_pn-8
732,10036,st. vincent's east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,72%,31 patients,al_ami-7a
511,10022,huntsville hospital,101 sivley road,suite 200,empty,hunstville,al,35810,madison,2562651001,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,87%,200 patients,al_scip-inf-1
345,10015,infirmary health,5 mobile infirmary circle,building A,empty,mobil,al,36617,mobile,2514352401,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,76%,42 patients,al_ami-7a
382,10021,baptist medical center south,2105 east south boulevard,floor 3,empty,montgomer,al,36111,montgomery,3342882101,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,79%,39 patients,al_ami-7a
511,10032,flowrs hospital,4370 west main street,unit 200,building B,dothan,al,36350,houston,3347935001,acute care hospitals,proprietary,yes,heart attack,ami-8b,heart attack patients given pci within 90 minutes of arrival,86%,35 patients,al_amix8b
742,10063,community hospitl,805 friendship road,suite 300,building C,tallasee,al,36087,elmore,3342836542,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-2,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,90%,125 patients,al_scip-inf-2
123,20092,northwest medical ctr,123 main street,suite 101,building D,springfiled,il,62702,sangamon,2175551235,general medical and surgical hospitals,voluntary non-profit - private,yes,heart failure,hf-5,heart failure patients with left ventricular systolic dysfunction (lvsd) and ace inhibitor or arb therapy prescribed at discharge,82%,40 patients,il_hf-5
789,30051,sunnydale medical center,500 oak avenue,suite 202,west wing,sunnyvale,ca,94805,santa clara,4089876543,acute care hospitals,proprietary,yes,stroke,st-3,stroke patients who received antithrombotic therapy by end of hospital day 2,92%,68 patients,ca_st-3
321,20322,fairbanks memorial hospital,1650 cowles street,suite 700,empty,fairbanks,ak,99710,fairbanks north star,9074585555,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),70%,42 patients,ak_ami-8b
532,30051,baptist health medical center - heber springs,1800 by-pass,empty,empty,herber springs,ar,72534,cleburne,5018873000,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,70%,38 patients,ar_ami-7a
784,40027,phoenix children's hospital,1919 east thomas road,suite 101,empty,pheonix,az,85016,maricopa,6025461001,childrens,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients whose preventative antibiotic(s) are stopped within 24 hours after surgery,85%,90 patients,az_scip-inf-2
332,10028,southeast alabama medical center,"1108 ross clark circle, southeast health",suite 100,empty,dothan,al,36031,houston,3347938702,acute care hospitals,voluntary non-profit - private,no,heart attach,ami-8a,heart attack patients given pci within 90 minutes of arrival,80%,40 patients,al_amix8a
507,10021,j paul jones hospital,317 magnolia avenue,empty,empty,camden,al,36729,wilcox,3346824132,acute care hospitals,government - hospital district or authority,yes,heart attach,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,85%,15 patients,al_ami-7a
712,10035,green county hospital,509 wilson avenue,suite 101,empty,ecker,al,35453,green,2053723389,acute care hospitals,government - local,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),86%,15 patients,al_amix8b
123,20029,alaska medical center,123 main street,suite 101,empty,anchor,ak,99502,anchorage,9071234568,acute care hospitals,proprietary,yes,heart failure,hf-1,heart failure patients given discharge instructions,89%,151 patients,ak_hf-1
456,30017,mountain view regional hospital,500 oak street,unit 201,empty,las vegas,nv,89102,clark,7029876542,acute care hospitals,government - local,yes,stroke,st-1,stroke patients assessed for rehabilitation,76%,91 patients,nv_st-1
789,40025,sunset valley medical center,700 sunrise avenue,suite 300,empty,phoenix,az,85010,maricopa,4808765433,acute care hospitals,voluntary non-profit - private,yes,cancer,cancer-1,cancer patients screened for tobacco use,83%,121 patients,az_cancer-1
329,20011,fairbanks memorial hospital,1650 cowles street,empty,empty,fairbanks,ak,99702,fairbanks north star,9074528182,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78%,44 patients,ak_ami-8b
512,30022,yuma regional medical center,2400 south avenue a,empty,empty,yuma,az,85365,yuma,9283442001,acute care hospitals,proprietary,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),89%,106 patients,az_pn-6
731,40017,northwest medical center,6200 north la cholla boulevard,unit 101,empty,tuscon,az,85714,pima,5207429001,acute care hospitals,proprietary,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,75%,35 patients,az_ami-7a
342,20345,mountain view regional hospital,750 north main street,suite 125,empty,las vagas,nv,89110,clark,7025896333,acute care hospitals,proprietary,yes,heart failure,hf-4,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),82%,125 patients,nv_hf-4
577,30567,lakeview regional medical center,95 east hwy 9,building c,suite 200,covignton,la,70434,st. tammany,9858674091,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-9,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),85%,50 patients,la_ami-9
902,40329,unity hospital of rochester,1555 long pond road,unit 100,empty,rochester,ny,14626,monroe,5857237000,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who received appropriate hair removal,91%,150 patients,ny_scip-card-2
378,10003,st. vincent's east,50 medical park east drive,suite 259,empty,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-2,heart failure patients given discharge instructions,84%,150 patients,al_hf-2
512,20023,alaska native medical center,4315 diplomar drive,unit 5,empty,anchorage,ak,99508,anchorage,9075632662,acute care hospitals,government - federal,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78%,42 patients,ak_ami-8b
208,10023,baptist medical center suth,2105 east south boulevard,empty,empty,montgmery,al,36161,montgomery,3342882101,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-3,heart attack patients given aspirin at arrival,88%,141 patients,al_ami-3
555,20019,alaska native medical cente,4315 diplomac drive,empty,empty,anchorage,ak,99588,anchorage,9075637101,acute care hospitals,government - federal,yes,heart failure,hf-3,heart failure patients given discharge instructions,80%,90 patients,ak_hf-3
215,10023,mobile infirmary medical center,5 mobile infirmary circle,suite 400,empty,moble,al,36617,mobile,2514352401,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),77%,44 patients,al_ami-8b
527,10025,andalusia regional hospital,849 south 3 notch street,unit 101,empty,andalusia,al,36421,covington,3342228465,acute care hospitals,proprietary,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),81%,37 patients,al_ami-8c
743,10035,dekalb regional medical center,200 med center drive sw,suite 2,empty,fort payne,al,35967,dekalb,2568453151,acute care hospitals,proprietary,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,75%,18 patients,al_ami-7b
324,20012,fairbanks memorial hospital,1650 cowles street,suite #2,empty,fairbanks,ak,99702,fairbanks north star,9074528182,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-4a,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),77%,44 patients,ak_ami-4b
522,30015,banner baywood medical center,6644 east baywood avenue,suite 101,empty,mesa,az,85206,maricopa,4803212000,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-5,heart attack patients given aspirin at arrival,95%,67 patients,az_ami-5
123,20029,fairbanks general hospital,567 main street,suite 201,empty,fairbanks,ak,99701,fairbanks north star,9074567890,acute care hospitals,proprietary,yes,heart attack,ami-8b,heart attack patients given aspirin at arrival,88%,40 patients,ak_ami-8b
345,30015,central city medical center,123 central avenue,suite 102,empty,central city,wy,82045,central,3079876543,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who received appropriate hair removal,94%,65 patients,wy_scip-inf-2
678,40017,mountain view hospital,800 pine street,suite 300,empty,mountain city,co,80457,mountain,3038765433,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,heart failure patients given discharge instructions,91%,81 patients,co_hf-1
238,20073,anchorage general hospital,1101 east 36th avenue,empty,empty,anchorage,ak,99508,anchorage,9075632662,acute care hospitals,government - local,yes,heart failure,hf-1,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78%,105 patients,ak_hf-1
502,10023,jackson hospital & clinic inc,1725 pine street,empty,empty,montgomery,al,36105,montgomery,3342938001,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,80%,41 patients,al_ami-8a
325,30021,casa grande regional medical center,1800 east florence boulevard,suite 100,empty,cas grande,az,85121,pinal,5203816301,acute care hospitals,proprietary,yes,stroke,stkh-3,stroke patients who received carotid imaging study,94%,65 patients,az_stkh-3
251,20020,fairbanks memorial hospital,1650 cowles street,suite 20,empty,fairbank,ak,99711,fairbanks north star,9074582501,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,79%,39 patients,ak_ami-8a
530,10042,limestone medical center,203 south marion street,suite 100,empty,groesbeck,tx,76641,limestone,2547293282,acute care hospitals,government - local,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,93%,123 patients,tx_scip-inf-1
712,30007,phoenix va health care system,650 east indian school road,unit 101,empty,phoenix,az,85013,maricopa,6022775552,va medical center,government - federal,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,72%,16 patients,az_ami-7a
329,20019,fairbanks memorial hospital,1650 cowles street,suite 201,empty,fairbanks,ak,99702,fairbanks north star,9074528182,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),80%,46 patients,ak_ami-8b
512,30025,yuma regional medical center,2400 south avenue a,suite 202,empty,yuma,az,85365,yuma,9283442001,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients on a prophylactic antibiotic selection,86%,151 patients,az_scip-inf-2
745,40035,northwest medical center,6200 n la cholla blvd,suite 200,empty,tuscon,az,85704,pima,5207429001,acute care hospitals,proprietary,yes,heart attack,ami-5,heart attack patients given aspirin at arrival,92%,105 patients,az_ami-5
912,50016,university of arkansas for medical sciences,4301 w markham street,empty,empty,littlerock,ak,72055,pulaski,5016867001,acute care hospitals,government - state,yes,heart attach,ami-6,heart attack patients given aspirin at discharge,86%,50 patients,ar_ami-6
350,20092,valley view medical center,3001 st ann's drive,suite 100,empty,jonesborough,ar,72041,craighead,8709305822,acute care hospitals,proprietary,yes,heart attach,ami-5,heart attach patients given aspirin at arrival,80%,40 patients,ar_ami-5
512,3001,phoenix children's hospital,1919 east thomas road,empty,empty,phoenix,az,8501,maricopa,6025461000,childrens hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the right kind of antibiotic to help prevent infection,88%,122 patients,az_scip-inf-2
725,1003,andalusia regional hospital,849 south 3 notch street,empty,empty,andalusia,al,3642,covington,3342228466,acute care hospitals,proprietary,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,73%,37 patients,al_ami-8a
350,2033,northwest medical center,1845 veterans blvd,suite b,empty,mccomb,ms,3964,pike,6012495500,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-3,heart failure patients given discharge instructions,79%,120 patients,ms_hf-3
523,30019,st bernards medical center,225 east jackson,suite 101,empty,jonesboro,ar,72041,craighead,8709724101,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,71%,39 patients,ar_ami-7a
712,40021,banner heart hospital,6750 e baywood ave,empty,empty,mesa,az,85260,maricopa,4808545051,acute care hospitals,proprietary,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,89%,46 patients,az_ami-8a
302,10031,montrose memorial hospital,800 south 3rd street,suite 102,empty,montrose,co,81421,montrose,9702492212,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78%,41 patients,co_ami-8b
518,20080,central peninsula hospitl,250 hospital place,empty,empty,soldotna,ak,99669,kenai peninsula,9077144044,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,71%,38 patients,ak_ami-7a
719,10035,citizens baptist medical center,604 stone avenue,empty,empty,talladega,al,35610,talladega,2563628111,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-2,surgery patients with prophylactic antibiotics stopped within 24 hours after surgery,88%,113 patients,al_scip-inf-2
123,2032,sunnydale medical center,789 pine street,suite 201,empty,springfield,il,62701,sangamon,2175551243,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,84%,150 patients,il_hf-1
456,30051,maplewood general hospital,440 oak lane,suite 101,empty,mapleton,mn,55423,ramsey,6129876541,acute care hospitals,government - local,yes,stroke,st-6,stroke patients who received appropriate treatment to prevent blood clots within 2 days of arrival,90%,62 patients,mn_st-6
789,40072,oakwood community hospital,123 elm avenue,suite 105,empty,oakdale,ca,95316,stanislaus,2093219879,acute care hospitals,proprietary,yes,hip replacement,hipr-3,patients who had blood clots removed from a large vein within 24 hours of arrival or admission,76%,44 patients,ca_hipr-3
432,10211,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36161,montgomery,3342882101,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-3,heart failure patients given discharge instructions,87%,122 patients,al_hf-3
710,10035,dekalb regional medical center,200 medical center drive sw,suite 100,empty,fort payne,al,35968,dekalb,2568453150,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,82%,38 patients,al_amix8a
325,20031,jackson memorial hospital,1200 n.w. 16th street,suite a-305,empty,miami,fl,33125,miami-dade,3055851111,acute care hospitals,government - local,no,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,80%,45 patients,fl_amix8a
512,40020,presbyterian hospital,1100 central avenue s.e.,empty,empty,albuquerque,nm,87106,bernalillo,5058411234,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,75%,35 patients,nm_ami-7a
724,50039,holly cross hospital,4725 n. federal highway,suite 100,empty,fort lauderdale,fl,33307,broward,9544925754,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,87%,121 patients,fl_scip-inf-2
234,30012,pineview hospital,1300 east 300 north,suite 201,empty,logan,ut,84342,cache,4357161001,acute care hospitals,proprietary,yes,heart failure,hf-3,heart failure patients with discharge instructions,76%,119 patients,ut_hf-4
555,20033,sacred heart hospital on the emerald coast,7800 u s highway 98 west,suite 101,empty,miramar beach,fl,32551,okaloosa,8502783601,acute care hospitals,voluntary non-profit - church,yes,stroke,st-6,stroke patients who received statin medication at discharge,86%,43 patients,fl_st-7
777,40224,memorial hospital of carbon county,2221 west elk avenue,suite 101,building A,rawlings,wy,82310,carbon,3073242220,acute care hospitals,government - local,yes,pneumonia,pn-8,pneumonia patients given smoking cessation advice/counseling,89%,64 patients,wy_pn-8
777,20092,anchorage general hospital,123 main street,suite 100,building C,anchorage,ak,99510,anchorage,9075551235,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,85%,52 patients,ak_hf-1
312,30021,central health hospital,701 central avenue,suite 200,tower C,phoenix,az,85011,maricopa,6029876542,acute care hospitals,government - local,yes,stroke,stroke-5,stroke patients with atrial fibrillation/flutter prescribed anticoagulant therapy at discharge,80%,45 patients,az_stroke-5
123,20032,mountain view hospital,5005 north piedra road,suite 100,missing,fresno,ca,93710,fresno,5594506200,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-4,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),88%,120 patients,ca_hf-4
456,30115,sacred heart medical center - riverbed,3333 riverbend drive,empty,empty,springfield,or,97477,lane,5412222000,acute care hospitals,voluntary non-profit - church,yes,stroke,stroke-3,stroke patients with atrial fibrillation/flutter prescribed anticoagulant therapy at discharge,82%,65 patients,or_stroke-3
364,20052,fairbanks memorial hospital,1650 cowles street,suite 104,missing,fairbanks,ak,99701,fairbanks north star,9074528181,acute care hospitals,government - local,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,79%,18 patients,ak_ami-8a
512,30090,phoenix childrens hospital,1919 east thomas rd,suite 200,empty,phoenix,az,85016,maricopa,6029330835,childrens,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-2,surgery patients who received treatment to prevent blood clots on the day of or day after hospital admission,88%,66 patients,az_scip-vte-2
737,40111,phillips county health system,1150 state st,empty,empty,phillipsburg,ks,67661,phillips,7855435211,critical access hospitals,government - local,yes,pneumonia,pn-5,pneumonia patients assessed and given oxygen saturation,90%,45 patients,ks_pn-5
342,10022,baptist medical center south,2105 east south blvd,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-3,heart failure patients given discharge instructions,89%,120 patients,al_hf-3
521,10025,ub highlands,1201 11th avenue south,empty,empty,birmingham,al,35250,jefferson,2059307009,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,80%,40 patients,al_ami-7a
721,10033,mizell memorial hospital,702 north main street,empty,empty,opp,al,34667,covington,3344933542,acute care hospitals,voluntary non-profit - other,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,92%,85 patients,al_pn-5c
372,30021,st. vincent's east,50 medical park east drive,suite 259,empty,birmingham,al,35253,jefferson,2058383009,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,88%,125 patients,al_hf-1
527,20001,southeast alabama medical center,1108 ross clark circle,missing,missing,dothan,al,36310,houston,3347938701,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,80%,45 patients,al_ami-7a
674,10032,dekalb regional medical center,200 med center drive sw,missing,missing,fort payne,al,35978,dekalb,2568453150,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-8,pneumonia patients assessed and given smoking cessation advice/counseling,82%,50 patients,al_pn-8
732,10038,southeast alabama medical center,"1108 ross clark circle, southeast",suite 210,missing,dothan,al,36311,houston,3347938701,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-3,heart failure patients given discharge instructions,87%,115 patients,al_hf-3
578,10024,northwest medical center,1530 us highway 43,suite 101,empty,winfield,al,35594,marion,2054877111,acute care hospitals,proprietary,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,72%,35 patients,al_amix8a
507,10021,d c h regional medical center,809 university boulevard east,empty,empty,tuscaloosa,al,35401,tuscaloosa,2057597111,acute care hospitals,government - local,yes,surgical infection prevention,scip-vte-2,surgery patients who received treatment to prevent blood clots on the day of or day after hospital admission,98%,95 patients,al_scip-vte-2
302,20002,fairbanks memorial hospital,1650 cowles street,suite 202,empty,fairbanks,ak,99701,fairbanks north star,9074528181,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-3,heart failure patients given discharge instructions,82%,99 patients,ak_hf-3
