index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
789,10042,jaxson hospital & clinic inc,1725 pine st,suite 100,empty,montogmery,al,36116,montgomery,334293800,acute care hospital,voluntary non-profit - private,yes,heart attack,ami-8b,heart attack patients given beta blocker at arrival,90%,40 patients,al_ami-8c
555,20031,mat-su regional medical center,2500 south woodworth loop,apt 102,empty,palmers,ak,99644,matanuska-susitna,9078616001,acute care hospitals,government,no,surgical infection prevention,scip-inf-4,surgery patients who were given the wrong kind of antibiotic to help prevent infection,94%,93 patients,ak_scip-inf-4
342,20092,northwest medical centerr,1521 mcnutt road,apt 23,suite 107,conwayy,ak,72034,faulkner,5013293831,acute care centers,government - state,yes,heart attackk,ami-8b,heart attack patients given pci within 90 minutes of arrival,78%,45 patients,ak_ami-8b
501,20034,st bernard's medical center,225 east jackson avenue,suite 100,empty,jonesborough,ar,72410,craighead,8702077301,acute care hospital,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,85%,145 patients,ar_scip-inf-2
732,30051,pheonix children's hospital,1919 east thomas road,empty,empty,pohenix,az,85106,maricopa,6025461001,childrens,voluntary non-profit - private,yes,pnuemonia,pn-3c,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,94%,56 patients,az_pn-3c
321,10014,saint vincent east,50 medical park east road,suite 259,empty,birmingam,al,35235,jefferson,2058383123,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-8b,heart attack patients given pci within 90 minutes of arrival,80%,40 patients,al_ami-8b
518,20050,alaska native medical center,4315 diplomac drive,empty,empty,anchorage,ak,99580,anchorage,9075632369,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,89%,135 patients,ak_scip-inf-1
752,10039,d w mcmillan memorial hospital,1301 belleville avenue,suite 201,empty,brewton,al,36425,escambia,2518098268,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-7b,heart attack patients given fibrinolytic medication within 30 minutes of arrival,73%,19 patients,al_ami-7b
342,10031,mercy medical center,3701 5th avenue south,suite 201,empty,birminghams,al,3522,jefferson,205930360,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction,82%,120 patients,al_hf-3
520,10223,lakeland community hospital,4204 highway 195,empty,empty,haleyvill,al,35665,winston,2054865214,critical access hospital,government - local,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,79%,15 patients,al_ami-8a
702,10035,community hospital inc,805 friendship road,suite 101,empty,tallasse,al,36079,elmore,3342836542,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-4,pneumonia patients assessed and given oxygen,88%,45 patients,al_pn-4
123,20009,anchorage general hospital,123 main street,suite 100,empty,anchorage,ak,99502,anchorage,9075551235,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,84%,149 patients,ak_hf-1
789,30015,sunnyvale medical centre,500 sunny ave,suite 200,missing,sunnyvle,ca,94806,santa clara,4089876541,acute care hospitals,government - local,yes,stroke,st-5,stroke patients with prescription for antithrombotic therapy at discharge,89%,130 patients,ca_st-5
456,40022,sunset valley medical center,700 sunset blvd,suite 300,empty,sunset valley,tx,78744,travis,5123335679,acute care hospitals,non-profit,yes,hip replacement,hip-2,hip replacement patients with improvement in pain,89%,91 patients,tx_hip-3
123,20090,northern lights regional hospitl,7501 94 strt,unit 1,empty,fort mcmray,ab,t9h 1z2,wood buffalo,780791616,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8b,heart attack patients given ace inhibitr or arb for left ventricular systolic dysfunctin (lvsd),77%,42 patients,ab_ami-8b
5555,30029,souther general hospital,1200 main street,suite 30,empty,charlestone,sc,9403,charleston,8437224112,acute care hospitals,proprietary,yes,heart fail,hf-2,heart failure patients given discharge instruction,86%,61 patients,sc_hf-3
999,50025,moutain view hospital,300 hospital drive,suite 10,empty,las vegs,nv,89182,clar,7022555001,acute care hospitals,government - local,yes,strok,stkh-2,stroke patients with atrial fibrillation/flutter prescribed anticoagulant at discharge,93%,111 patients,nv_stkh-2
219,20029,central peninsula hospita,250 hospital place,suite 1,empty,soldotnaa,ak,99660,kenai peninsula,9077144405,acute care hospitals,government - local,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,73%,43 patients,ak_ami-7a
518,30081,phoenix children's hospitall,1919 east thomas road,suite 800,missing,phoeni,az,85106,maricopa,602933100,children,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,89%,129 patients,az_scip-inf-1
736,40122,northwest medical cneter,6200 north la cholla boulevard,empty,empty,tuscon,az,85714,pina,5207429001,acute care hospitals,proprietary,yes,heart attack,ami-8b,heart attack patients given pci within 90 minutes of arrival,85%,40 patients,az_ami-8b
134,20092,fairbankz memorial hospital,1650 cowles street,suite 205,empty,fairbank,ak,99701,fairbanks north star,9074528181,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8b,heart attack patients given aspirin at arrival,79%,45 patients,ak_ami-8b
521,10220,walker baptist medical centerr,3400 highway 78 east,suite 100,empty,jasper,al,35051,walker,2053874000,acute care hospitals,voluntary non-profit - private,yes,surgical infection preventionn,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),87%,125 patients,al_scip-inf-3
732,100336,lakeland community hospital,42024 highway 195,suite 101,empty,haleyvill,al,3556,winston,2054865123,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,75%,33 patients,al_ami-7b
342,30082,pinehurst hospital,123 main street,suite 200,building C,pinehurt,nc,28374,moore,9105551243,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,80%,105 patients,nc_hf-2
587,20029,fairbanks memorial hospitl,789 aurora avenue,unit 500,wing B,fairbankss,ak,99701,fairbanks north star,9079876542,acute care hospitals,government - local,yes,stroke,st-3,stroke patients with atrial fibrillation/flutter prescribed anticoagulant therapy at discharge,92%,42 patients,ak_st-3
921,40021,sunrize medical center,555 sunrise boulevard,suite 100,tower B,las vagas,nv,89140,clark,7027894322,acute care hospitals,proprietorship,yes,hip replacements,hip-6,hip replacement patients who received preventive antibiotic(s) 1 hour before incision,84%,69 patients,nv_hip-6
752,10063,baptist medical center est,400 taylor road,suite 10,empt,montgomey,al,36171,montgomery,334273450,acute care hospital,proprietar,yes,heart atack,ami-8,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),79%,40 patients,al_ami-8
521,10021,j paul jones hospital,317 magnolia ave,suite 100,NA,camden,al,36736,wilcox,3346824132,acute care hospitals,government - local,yes,heart attack,ami-7b,heart attack patients given fibrinolytic medication within 30 minutes of arrival,70%,20 patients,al_ami-7b
974,1051,citizens baptist medical center,604 stone avenue,empty,empty,talladega,al,3516,talladega,256761420,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,88%,120 patients,al_pn-3b
325,10025,baptist medical center east,400 taylor road,suite 300,empty,montgomery,al,36119,montgomery,3342734451,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,79%,45 patients,al_ami-7a
521,20021,providence alaska medical center,320 providence drive,suite 100,building A,anchorage,ak,95058,anchorage,9075622212,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,89%,185 patients,ak_scip-inf-2
752,1033,centrl alabama veterans health care system,215 perry hill road,empty,empty,montgomer,al,36109,montgomer,334272467,acute care hospitals,federal government - department of defense,yes,heat attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,83%,35 patients,al_ami-8a
219,100155,highland medical center,380 woods cove road,suite 350,unit 4,scottsboro,al,3576,jackson,256218377,acute care hospitals,private,yes,heart attach,ami-8a,heart attack patients given pci within 90 minutes of arrival,82%,33 patients,al_ami-8a
521,10023,baptist medical center south,2105 east south boulevard,suite 100,empty,montogmery,al,31616,montgomery,3342882101,acute care hospitals,proprietary,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,93%,124 patients,al_pn-5c
752,10036,randolph medical center,1890 alabama highway 22 west,empty,empty,roanoke,al,36274,randolph,3348634111,acute care hospitals,proprietor,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,75%,19 patients,al_ami-7a
231,10021,saint vincents west,50 medical park west drive,suite 200,floor 3,birmingham,al,35245,jefferson,2058319221,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-5b,heart failure patients given beta-blocker at discharge,78%,47 patients,al_hf-5b
543,2003,mat-su reginal medical center,2500 south woodworth lp,emty,emty,pamer,ak,99654,matanuska-susitnaa,907861600,acute care hospital,proprietaryy,yes,heart atack,ami-8c,heart attack patients given pci within 120 minutes of arival,78%,19 patients,ak_ami-8c
405,10016,baptist medical center west,400 taylor road,suite 101,missing,montogomery,al,36116,montgomery,3342778331,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8b,heart attack patients given pci within 90 minutes of arrival,80%,40 patients,al_ami-8b
753,1037,greil memorial psychiatric hospital,2140 highland avenue,empty,empty,birmingam,al,35250,jefferson,205838312,psychiatric hospitals,government - state,no,psychiatric care measures,ed-1b,emergency department volume,94%,104 patients,al_ed-1c
218,10012,flower hospital,4370 west main st,apt 101,empty,dothan,al,36035,houston,3347935001,acute care hospital,non-profit,yes,heart attack,ami-7b,heart attack patients given fibrinolytic medication within 30 minutes of arrival,85%,35 patients,al_ami-7b
342,100150,jackson hospital & clinic inc.,1725 pineapple st,suite 201A,unit 3,Montgomer,al,361060,montgomery county,3342938002,acute care hospital,voluntary non-profit - private,yes,heart attach,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,70%,40 patients,al_ami-7a
189,10010,russel medical center,3316 highway 280,east,empty,alexander city,al,3501,tallapoosa,2563297101,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),82%,106 patients,al_hf-1
521,20010,providence alask medical center,3200 providence drive,empty,empty,anchoragee,ak,99508,anchorage,9075622212,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,78%,41 patients,ak_ami-8a
321,20032,fairbank memorial hospital,1650 cowles st,apt 23,building C,fairbank,ak,99702,fairbanks northstar,9074528182,acute care hospital,voluntary non-profit,yes,heart attach,ami-8c,heart attack patients given ace inhibitor,77%,44 patients,ak_ami-8c
532,30015,"dignity health - st. rose dominican, siena campus",3001 st. rose parkway,unit 100,empty,henderson,nv,89053,clark,7026265000,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-4,heart attack patients given aspirin at arrival,85%,115 patients,nv_ami-4
174,400003,almeda hospital,2070 clinton ave,apt 101,floor 3,almeda,ca,9501,almeda,510522370,acute care hospitals,government - local,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,77%,33 patients,ca_ami-7a
318,10061,brookwood baptist medical center,2010 brookwood medical center drive,missing,empty,birming ham,al,35219,jefferson,2058771000,acute care hospitals,proprietary,yes,heart failure,hf-1,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),84%,104 patients,al_hf-1
529,10033,south baldwin regional medical center,1613 north mckenzie street,apt 201,empty,foley,ak,36534,baldwin,2519493401,acute care hospitals,non-profit,yes,heart attach,ami-8a,primary pci received within 90 minutes of hospital arrival,80%,39 patients,al_ami-8a
712,10036,northeast alabama regional medical center,400 east 10th street,suite 200,empty,anniston,al,36217,calhoun,2562355123,acute care hospitals,proprietary,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,74%,36 patients,al_ami-7a
345,20025,sunnyvale medical center,1234 main street,suite 201,empty,sunnyvale,ca,94085,santa clara,4085551235,acute care hospitals,proprietary,yes,heart failure,hf-5,heart failure patients given discharge instructions,83%,111 patients,ca_hf-5
572,30012,mountain view regional hospital,500 pine avenue,suite 100,missing,mountain view,wy,82938,uinta,3075555679,critical access hospitals,government - local,yes,stroke,st-6,stroke patients given antithrombotic therapy by end of hospital day 2,80%,41 patients,wy_st-6
217,40019,valley view medical center,700 oak street,floor 3,suite 302,valley junction,nv,8912,clark,702555987,acute care hospitals,voluntary non-profit - private,yes,joint replacement,hip-knee,patients who had hip or knee replacement surgery,91%,75 patients,nv_hip-knee
752,10036,st vincents east,50 medical park east drive,empty,empty,birmingham,al,35236,jefferson,2058383112,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,80%,37 patients,al_ami-8a
521,100220,cullmna regional medical center,1912 alabama highway 157,empty,empty,culman,al,3505,culman,256737200,acute care hospitals,government - hospital district or authority,yes,heart atack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,72%,43 patients,al_ami-7a
213,2003,yukon kuskokwim delta regional hospital,200 fairview circle,unit 101,empty,bethel,ak,99559,bethel,9075436301,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,82%,17 patients,ak_ami-8a
342,200210,anchorage general hospitol,123 main st,suite 100,missing,anchorage,ak,99051,anchorage,9075551234,acute care hospitals,voluntary non-profit - private,yes,heart atack,ami-5,heart attack patients given aspirin at discharge,89%,46 patients,ak_ami-6
512,30105,centrall hospital,700 elm street,unit 3,missing,springfied,il,62722,sangamon,2179876544,acute care hospital,government - local,yes,surgical infection prevention,scip-inf-3,surgery patients who received appropriate hair removal,86%,121 patients,il_scip-inf-3
726,40033,sunset medical center,500 sunset blvd,suite 200,empty,phoenix,az,85011,maricopa,6023334445,acute care hospitals,proprietary,yes,heart failure,hf-1,heart failure patients given discharge instructions,89%,65 patients,az_hf-1
724,1003,community hospital of tallassee,700 hospital drive,suite 2,empty,tallasee,al,3607,elmre,334283654,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction,82%,48 patients,al_hf-1
510,10032,hill hospitall of sumter county,751 derby drive,suite 100,empty,yorktown,ak,36295,sumpter,2053925262,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-3,heart failure patients given discharge instructions,88%,66 patients,ak_hf-3
333,10051,jaxon hospital & clinic inc,1725 pine street,suite 200,empty,montogomery,al,36160,montgomery,3342938001,acute care hospitals,voluntary non-profit - private,yes,stroke,st-3,stroke patients with atrial fibrillation/flutter prescribed anticoagulant therapy at discharge,78%,40 patients,al_st-4
1234,20013,northwset medical center,609 medical center dr,suite 101,missing,tuscaloosa,az,35460,tuscaloosa,2053334501,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-2,heart failure patients given discharge instructions,82%,95 patients,az_hf-2
732,10036,andalusia regional hospital,849 south 3 notch street,apt 202,empty,andalusia,al,36421,covington,3342228465,acute care hospitals,proprietary,yes,heart attack,ami-4,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),76%,48 patients,al_ami-3
533,10029,d w mcmillan memorial hospitl,1301 belleville avenue,empty,empty,brewton,al,36246,escambia,2518678062,acute care hospitals,voluntary non-profit - other,yes,heart attck,ami-8b,heart attack patients given pci within 90 mins of arrival,89%,33 patients,al_ami-8b
102,20034,northern alabam regional hospital,789 university drive,suite 201,empt,huntsvill,al,3580,madison,2568811224,acute care hospitals,voluntary non-profit - private,yes,heart failur,hf-2,heart failure patients given discharge instructions,89%,105 patients,al_hf-2
515,10029,baptist medicl center south,2105 east south boulevard,tower 2nd floor,empty,montgomry,al,31616,montgomery,3342862971,acute care hospitals,voluntary non-profit - private,yes,surgical care improvement project,scip-vte-2,surgery patients on a beta blocker prior to arrival who received a beta blocker during the perioperative period,94%,189 patients,al_scip-vte-2
742,10037,walker baptist medical center,3400 highway 78 east,missing,empty,jasper,al,35051,walker,2053874001,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,81%,46 patients,al_ami-8b
342,20035,st. jhon's hospital,1250 e marion street,suite 1,empty,shebly,ai,51510,pottawattamie,7123282548,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-4,heart attack patients given aspirin at arrival,80%,50 patients,ia_ami-6
521,31002,sunet hills community hospital,1301 sunset dr,building 3,suite 200,haywood,ca,94541,almeda,5107844001,acute care hospitals,government - local,yes,heart failure,hf-4,heart failure patients given discharge instructions,87%,80 patients,ca_hf-4
176,4002,saint als hospital,123 main st,suite 300,tower 5,jacksonville,ms,39210,hinds,60112345678,acute care hospitals,proprietary,yes,stroke,stroke-3,stroke patients with atrial fibrillation/flutter prescribed anticoagulant therapy at discharge,70%,30 patients,ms_stroke-3
324,10017,southeast alabama medical center,1108 ross clark circle,suite 600,empty,dotham,al,36321,houston,3347938702,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-2,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),79%,138 patients,al_hf-2
532,10024,pickens county medical center,241 robert k wilson drive,empty,empty,carrolton,al,35447,pickens,2053678112,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-4,pneumonia 30-day readmission rate,16%,50 patients,al_pn-4
721,10035,fayett medical center long term care,400 8th street southwest,empty,empty,fayett,al,35555,fayette,2059325966,critical access hospitals,voluntary non-profit - other,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,77%,10 patients,al_ami-7a
412,20029,fairbanks memorial hospital,1650 cowles street,apt 301,empty,fairbank,al,997011,fairbanks north star,9074528182,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8b,heart attack patients given smoking cessation advice/counseling,80%,42 patients,ak_ami-8b
742,10030,faytte medical center long term care,400 highway 43 north,empty,empty,fayette,al,3555,fayette,205932596,acute care hospitals,proprietay,no,heart attack,ami-7b,heart attack patients given fibrinolytic medication within 30 minutes of arrival,76%,32 patients,al_ami-7a
527,20080,providance alaska medical center,320 providence drive,empty,empty,anchoorage,ak,9508,anchoragee,907562221,acute care hospital,voluntary non-profit - private,yes,surgical infection preventionn,scip-inf-2,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,93%,142 patients,ak_scip-inf-2
345,100221,saint vincents east,50 medical park east drive,suite 100,empty,birmingha,al,3523,jefferson,205838300,acute care hospitals,voluntary non-profit - church,yes,heart atack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),79%,45 patients,al_ami-8b
522,10026,hale county hospitl,508 greene street,empty,empty,greensboro,al,3674,hale,3346243025,acute care hospitals,government - local,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),85%,36 patients,al_hf-3
932,10049,dale medical center,126 hospital ave,empty,empty,osark,al,36361,dale,3347742602,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-4,heart failure patients given discharge instructions,76%,79 patients,al_hf-5
765,10038,Baptist Medical Center South,2105 East South Boulevard,Unit 12,empty,Montgomery,al,31616,Montgomery,3342882101,acute care hospitals,voluntary non-profit - private,yes,heart attach,ami-8b,heart attack patients given PCI within 90 minutes of arrival,83%,34 patients,al_ami-8b
522,20012,providnce alaska medical center,3200 providence drive,empty,empty,anchoarge,ka,9508,anchorage,907562221,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,75%,18 patients,ak_ami-7a
932,20046,yukon kuskokwim delta regional hospital,200 sunrise road,empty,empty,bethel,ak,99558,bethel,9075436301,acute care hospitals,government - local,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),89%,42 patients,ak_pn-6
324,20332,sunet health services,788 sunet blvd,suite 201,empty,pheonix,az,85002,maricopa,6027891024,acute care hospitals,proprietary,yes,heart attach,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,71%,41 patients,az_ami-7b
511,400155,st. mary's medical center,2900 first avenue,unit 10,empty,hunnington,wv,25720,cabell,304526212,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,82%,32 patients,wv_ami-8a
743,30033,saint agnes medical center,1303 east herndon avenue,empty,empty,fresno,ca,93270,fresno,5594503001,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,85%,151 patients,ca_scip-inf-2
352,20090,fairbank memorial hospital,1650 cowles street,suite 20,empty,fairbank,ak,99701,fairbanks north star,907452818,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients on a prophylactic antibiotic selection,88%,150 patients,ak_scip-inf-2
